datetime,avg_price,volume,min_price,max_price
2026-03-04,78.5,30,77,80
2026-03-05,78.5,41,77,80
2026-03-06,78.5,34,77,80
2026-03-07,76.0,51,72,80
2026-03-08,75.0,55,70,80
2026-03-09,76.5,45,73,80
2026-03-10,77.5,46,75,80
2026-03-11,72.5,41,65,80
2026-03-12,76.5,53,73,80
2026-03-13,77.0,37,74,80
2026-03-14,76.5,53,73,80
2026-03-15,79.0,48,78,80
2026-03-16,79.0,38,78,80
2026-03-17,79.0,36,78,80
2026-03-18,78.5,30,77,80
2026-03-19,79.0,22,78,80
2026-03-20,77.0,42,74,80
2026-03-21,78.0,14,76,80
2026-03-22,80.0,17,75,85
2026-03-23,79.5,10,79,80
2026-03-24,77.5,17,65,90
2026-03-25,70.0,40,55,85
2026-03-26,75.0,85,65,85
2026-03-27,72.5,54,65,80
2026-03-28,72.5,55,65,80
2026-03-29,72.5,80,65,80
2026-03-30,75.0,67,70,80
2026-03-31,75.0,55,73,77
2026-04-01,72.5,79,65,80
2026-04-02,75.0,46,70,80
2026-04-03,74.5,54,64,85
2026-04-04,70.0,63,60,80
2026-04-05,72.0,96,64,80
2026-04-06,74.5,65,69,80
2026-04-07,72.5,65,65,80
2026-04-08,74.5,68,69,80
2026-04-09,77.5,76,70,85
2026-04-10,76.5,98,69,84
2026-04-11,72.5,122,65,80
2026-04-12,72.5,99,65,80
2026-04-13,73.5,103,62,85
2026-04-14,74.5,81,69,80
2026-04-15,74.0,75,65,83
2026-04-16,76.5,65,73,80
2026-04-17,78.5,39,77,80
2026-04-18,78.5,70,77,80
2026-04-19,73.5,92,62,85
2026-04-20,80.0,39,78,82
2026-04-21,78.5,45,77,80
2026-04-22,79.5,58,74,85
2026-04-23,79.0,41,78,80
2026-04-24,78.5,46,77,80
2026-04-25,77.0,80,74,80
2026-04-26,90.0,93,60,120
2026-04-27,79.0,39,78,80
2026-04-28,78.5,51,77,80
2026-04-29,78.5,42,77,80
2026-04-30,77.0,56,74,80
2026-05-01,78.5,61,77,80
2026-05-02,79.0,55,78,80
2026-05-03,79.0,48,78,80
2026-05-04,78.5,59,77,80
2026-05-05,75.0,72,60,90
2026-05-06,79.0,69,58,100
2026-05-07,76.0,73,67,85
2026-05-08,80.5,39,79,82
2026-05-09,78.5,43,77,80
2026-05-10,79.0,57,78,80
2026-05-11,79.0,48,78,80
2026-05-12,79.0,44,77,81
2026-05-13,77.5,53,66,89
2026-05-14,79.5,56,74,85
2026-05-15,77.5,64,70,85
2026-05-16,80.0,43,78,82
2026-05-17,80.0,70,75,85
2026-05-18,79.0,36,78,80
2026-05-19,79.5,42,79,80
2026-05-20,80.0,58,72,88
2026-05-21,80.0,51,70,90
2026-05-22,80.0,41,75,85
2026-05-23,79.0,37,78,80
2026-05-24,80.0,58,75,85
2026-05-25,79.0,29,78,80
2026-05-26,80.0,58,75,85
2026-05-27,80.0,46,75,85
2026-05-28,80.0,38,72,88
2026-05-29,80.0,41,79,81
2026-05-30,80.0,62,75,85
2026-05-31,80.0,58,75,85
