datetime,avg_price,volume,min_price,max_price
2026-03-04,89.0,64,88,90
2026-03-05,87.5,92,65,110
2026-03-06,88.5,62,87,90
2026-03-07,88.5,86,87,90
2026-03-08,88.5,90,87,90
2026-03-09,89.0,67,88,90
2026-03-10,88.5,68,87,90
2026-03-11,88.0,81,84,92
2026-03-12,88.0,84,83,93
2026-03-13,87.0,76,84,90
2026-03-14,88.5,91,87,90
2026-03-15,89.0,87,88,90
2026-03-16,87.5,91,75,100
2026-03-17,87.5,96,65,110
2026-03-18,88.5,78,87,90
2026-03-19,88.0,84,84,92
2026-03-20,88.5,77,87,90
2026-03-21,90.0,36,85,95
2026-03-22,94.5,47,79,110
2026-03-23,94.5,31,89,100
2026-03-24,90.0,39,80,100
2026-03-25,87.0,82,75,99
2026-03-26,85.5,109,76,95
2026-03-27,85.0,104,75,95
2026-03-28,84.0,129,72,96
2026-03-29,80.5,122,71,90
2026-03-30,82.5,107,75,90
2026-03-31,85.0,111,75,95
2026-04-01,85.0,85,81,89
2026-04-02,85.0,107,80,90
2026-04-03,85.0,146,75,95
2026-04-04,82.5,193,75,90
2026-04-05,85.0,176,75,95
2026-04-06,85.0,138,75,95
2026-04-07,85.0,124,75,95
2026-04-08,82.5,103,75,90
2026-04-09,84.5,133,72,97
2026-04-10,81.5,123,73,90
2026-04-11,82.0,164,74,90
2026-04-12,82.0,184,74,90
2026-04-13,83.5,123,77,90
2026-04-14,83.5,115,77,90
2026-04-15,84.0,166,78,90
2026-04-16,87.5,85,83,92
2026-04-17,86.5,116,83,90
2026-04-18,88.5,124,87,90
2026-04-19,88.5,129,87,90
2026-04-20,89.0,62,88,90
2026-04-21,88.5,84,87,90
2026-04-22,89.0,98,88,90
2026-04-23,89.5,80,88,91
2026-04-24,89.5,86,89,90
2026-04-25,88.5,78,87,90
2026-04-26,87.0,156,75,99
2026-04-27,89.0,80,88,90
2026-04-28,89.0,103,88,90
2026-04-29,80.0,110,60,100
2026-04-30,90.0,96,88,92
2026-05-01,90.0,175,88,92
2026-05-02,90.0,130,88,92
2026-05-03,90.0,88,88,92
2026-05-04,90.0,69,88,92
2026-05-05,90.0,89,88,92
2026-05-06,90.0,70,88,92
2026-05-07,89.5,81,88,91
2026-05-08,89.5,68,89,90
2026-05-09,82.5,142,65,100
2026-05-10,89.0,75,88,90
2026-05-11,88.5,91,87,90
2026-05-12,86.5,103,83,90
2026-05-13,89.5,70,89,90
2026-05-14,88.5,67,87,90
2026-05-15,88.5,62,87,90
2026-05-16,88.5,89,87,90
2026-05-17,88.5,88,87,90
2026-05-18,88.5,59,87,90
2026-05-19,88.5,87,87,90
2026-05-20,88.5,77,87,90
2026-05-21,88.5,61,87,90
2026-05-22,89.0,69,88,90
2026-05-23,90.0,87,88,92
2026-05-24,88.5,91,87,90
2026-05-25,77.5,94,55,100
2026-05-26,89.0,74,88,90
2026-05-27,88.5,75,87,90
2026-05-28,89.0,61,87,91
2026-05-29,88.5,84,87,90
2026-05-30,88.5,97,87,90
2026-05-31,88.5,74,87,90
