datetime,avg_price,volume,min_price,max_price
2026-03-24,70.0,28,60.0,80.0
2026-03-25,59.0,48,48.0,70.0
2026-03-26,55.0,97,46.0,64.0
2026-03-27,55.0,83,45.0,65.0
2026-03-28,54.0,99,48.0,60.0
2026-03-29,50.0,109,45.0,55.0
2026-03-30,53.5,105,42.0,65.0
2026-03-31,52.5,123,42.0,63.0
2026-04-01,57.0,112,54.0,60.0
2026-04-02,58.5,89,57.0,60.0
2026-04-03,57.5,88,53.0,62.0
2026-04-04,58.5,95,57.0,60.0
2026-04-05,58.5,86,57.0,60.0
2026-04-06,56.5,122,48.0,65.0
2026-04-07,58.5,74,57.0,60.0
2026-04-08,59.0,83,57.0,61.0
2026-04-09,58.5,89,57.0,60.0
2026-04-10,58.5,82,57.0,60.0
2026-04-11,58.5,81,57.0,60.0
2026-04-12,59.0,78,58.0,60.0
2026-04-13,59.0,73,57.0,61.0
2026-04-14,62.5,134,45.0,80.0
2026-04-15,74.0,96,49.0,99.0
2026-04-16,60.0,97,58.0,62.0
2026-04-17,58.5,83,57.0,60.0
2026-04-18,59.0,93,58.0,60.0
2026-04-19,59.0,110,58.0,60.0
2026-04-20,83.0,103,46.0,120.0
2026-04-21,65.0,102,50.0,80.0
2026-04-22,97.0,124,45.0,149.0
2026-04-23,58.5,66,52.0,65.0
2026-04-24,58.0,111,46.0,70.0
2026-04-25,60.0,97,55.0,65.0
2026-04-26,60.0,112,55.0,65.0
2026-04-27,60.0,91,55.0,65.0
2026-04-28,60.5,196,54.0,67.0
2026-04-29,60.0,84,55.0,65.0
2026-04-30,60.0,99,50.0,70.0
2026-05-01,61.0,102,57.0,65.0
2026-05-02,59.5,68,58.0,61.0
2026-05-03,60.0,106,50.0,70.0
2026-05-04,63.5,97,57.0,70.0
2026-05-05,63.5,97,53.0,74.0
2026-05-06,65.5,68,62.0,69.0
2026-05-07,64.5,62,63.0,66.0
2026-05-08,65.0,92,55.0,75.0
2026-05-09,65.0,71,63.0,67.0
2026-05-10,64.5,112,54.0,75.0
2026-05-11,65.0,103,60.0,70.0
2026-05-12,63.5,108,57.0,70.0
2026-05-13,64.0,60,58.0,70.0
2026-05-14,63.5,87,57.0,70.0
2026-05-15,63.5,102,57.0,70.0
2026-05-16,64.0,71,63.0,65.0
2026-05-17,64.5,91,63.0,66.0
2026-05-18,66.0,72,63.0,69.0
2026-05-19,65.0,60,63.0,67.0
2026-05-20,65.0,80,60.0,70.0
2026-05-21,65.0,78,60.0,70.0
2026-05-22,62.5,82,55.0,70.0
2026-05-23,63.5,96,57.0,70.0
2026-05-24,65.0,83,61.0,69.0
2026-05-25,62.0,85,54.0,70.0
2026-05-26,64.0,84,58.0,70.0
2026-05-27,65.0,79,60.0,70.0
2026-05-28,67.0,104,64.0,70.0
2026-05-29,66.0,96,62.0,70.0
2026-05-30,66.5,91,63.0,70.0
2026-05-31,62.5,102,55.0,70.0
2026-06-01,67.0,99,64.0,70.0
2026-06-02,66.5,98,63.0,70.0
2026-06-03,66.5,48,63.0,70.0
2026-06-04,64.5,68,59.0,70.0
2026-06-05,64.0,86,58.0,70.0
2026-06-06,65.5,88,61.0,70.0
2026-06-07,67.0,92,64.0,70.0
2026-06-08,63.5,73,57.0,70.0
2026-06-09,65.0,70,60.0,70.0
2026-06-10,67.0,91,64.0,70.0
2026-06-11,65.0,74,60.0,70.0
2026-06-12,65.0,80,60.0,70.0
2026-06-13,66.5,93,63.0,70.0
2026-06-14,66.5,83,63.0,70.0
2026-06-15,67.5,55,65.0,70.0
2026-06-16,67.5,60,65.0,70.0
2026-06-17,64.0,80,58.0,70.0
2026-06-18,62.5,99,55.0,70.0
2026-06-19,65.0,63,63.0,67.0
2026-06-20,62.0,107,54.0,70.0
