datetime,avg_price,volume,min_price,max_price
2026-05-02,73.5,62,72.0,75.0
2026-05-03,75.0,76,70.0,80.0
2026-05-04,75.0,59,73.0,77.0
2026-05-05,75.0,60,73.0,77.0
2026-05-06,74.5,80,69.0,80.0
2026-05-07,72.5,90,65.0,80.0
2026-05-08,72.5,94,65.0,80.0
2026-05-09,75.0,85,70.0,80.0
2026-05-10,77.0,76,74.0,80.0
2026-05-11,75.0,61,70.0,80.0
2026-05-12,77.0,64,74.0,80.0
2026-05-13,77.0,64,74.0,80.0
2026-05-14,72.5,64,65.0,80.0
2026-05-15,75.0,71,70.0,80.0
2026-05-16,71.5,91,63.0,80.0
2026-05-17,75.0,50,73.0,77.0
2026-05-18,72.5,75,65.0,80.0
2026-05-19,77.0,61,74.0,80.0
2026-05-20,72.5,61,65.0,80.0
2026-05-21,75.0,76,65.0,85.0
2026-05-22,76.5,70,73.0,80.0
2026-05-23,74.0,79,68.0,80.0
2026-05-24,77.5,69,70.0,85.0
2026-05-25,75.0,58,70.0,80.0
2026-05-26,74.5,90,69.0,80.0
2026-05-27,74.5,64,69.0,80.0
2026-05-28,75.0,62,65.0,85.0
2026-05-29,70.0,66,65.0,75.0
2026-05-30,70.0,73,65.0,75.0
2026-05-31,69.0,63,64.0,74.0
2026-06-01,70.0,56,65.0,75.0
2026-06-02,69.0,54,68.0,70.0
2026-06-03,71.0,64,67.0,75.0
2026-06-04,69.0,48,68.0,70.0
2026-06-05,70.5,48,67.0,74.0
2026-06-06,70.0,61,68.0,72.0
2026-06-07,69.0,49,68.0,70.0
2026-06-08,69.5,35,68.0,71.0
2026-06-09,68.0,35,64.0,72.0
2026-06-10,67.5,51,60.0,75.0
2026-06-11,67.5,81,60.0,75.0
2026-06-12,67.0,161,59.0,75.0
2026-06-13,68.5,109,67.0,70.0
2026-06-14,66.0,108,62.0,70.0
2026-06-15,68.5,76,67.0,70.0
2026-06-16,67.5,101,64.0,71.0
2026-06-17,66.5,110,60.0,73.0
2026-06-18,67.5,67,65.0,70.0
2026-06-19,62.5,112,55.0,70.0
2026-06-20,65.0,133,55.0,75.0
2026-06-21,65.0,122,55.0,75.0
2026-06-22,58.0,123,46.0,70.0
2026-06-23,61.0,136,50.0,72.0
2026-06-24,60.0,137,50.0,70.0
2026-06-25,62.5,137,55.0,70.0
2026-06-26,62.0,103,57.0,67.0
2026-06-27,62.0,111,54.0,70.0
2026-06-28,60.0,134,50.0,70.0
2026-06-29,58.0,150,46.0,70.0
2026-06-30,60.0,103,50.0,70.0
2026-07-01,58.5,109,52.0,65.0
2026-07-02,58.5,61,57.0,60.0
2026-07-03,59.5,72,58.0,61.0
2026-07-04,59.0,81,57.0,61.0
2026-07-05,59.0,94,57.0,61.0
2026-07-06,59.0,78,58.0,60.0
2026-07-07,58.5,63,57.0,60.0
2026-07-08,60.0,88,55.0,65.0
2026-07-09,58.5,63,57.0,60.0
2026-07-10,59.0,63,58.0,60.0
2026-07-11,58.5,66,57.0,60.0
2026-07-12,55.0,84,50.0,60.0
2026-07-13,54.5,73,49.0,60.0
2026-07-14,55.0,70,45.0,65.0
2026-07-15,52.5,82,45.0,60.0
2026-07-16,55.0,63,45.0,65.0
2026-07-17,53.5,90,45.0,62.0
2026-07-18,55.0,80,50.0,60.0
2026-07-19,55.0,102,50.0,60.0
2026-07-20,54.0,62,48.0,60.0
2026-07-21,56.5,58,53.0,60.0
2026-07-22,54.5,78,49.0,60.0
2026-07-23,57.5,68,55.0,60.0
2026-07-24,57.5,68,50.0,65.0
2026-07-25,57.0,78,45.0,69.0
2026-07-26,56.0,83,52.0,60.0
2026-07-27,56.5,47,53.0,60.0
2026-07-28,58.5,36,57.0,60.0
2026-07-29,52.5,88,45.0,60.0
