datetime,avg_price,volume,min_price,max_price
2026-06-03,99.0,59,68.0,130.0
2026-06-04,79.0,43,78.0,80.0
2026-06-05,79.0,44,78.0,80.0
2026-06-06,79.0,46,78.0,80.0
2026-06-07,79.0,47,78.0,80.0
2026-06-08,100.0,39,60.0,140.0
2026-06-09,110.0,51,70.0,150.0
2026-06-10,78.5,26,77.0,80.0
2026-06-11,78.5,40,77.0,80.0
2026-06-12,77.5,51,75.0,80.0
2026-06-13,77.5,67,75.0,80.0
2026-06-14,78.5,70,77.0,80.0
2026-06-15,78.5,53,77.0,80.0
2026-06-16,78.0,48,76.0,80.0
2026-06-17,78.5,50,77.0,80.0
2026-06-18,76.5,48,73.0,80.0
2026-06-19,77.5,40,75.0,80.0
2026-06-20,77.0,58,74.0,80.0
2026-06-21,78.5,64,77.0,80.0
2026-06-22,79.0,52,78.0,80.0
2026-06-23,78.5,37,77.0,80.0
2026-06-24,77.5,61,75.0,80.0
2026-06-25,77.0,55,74.0,80.0
2026-06-26,77.5,57,75.0,80.0
2026-06-27,76.5,61,73.0,80.0
2026-06-28,78.0,53,76.0,80.0
2026-06-29,77.0,57,74.0,80.0
2026-06-30,77.0,73,74.0,80.0
2026-07-01,78.5,74,77.0,80.0
2026-07-02,77.0,53,74.0,80.0
2026-07-03,78.5,58,77.0,80.0
2026-07-04,78.0,63,76.0,80.0
2026-07-05,77.0,83,74.0,80.0
2026-07-06,77.5,67,75.0,80.0
2026-07-07,78.5,51,77.0,80.0
2026-07-08,78.5,46,77.0,80.0
2026-07-09,77.5,53,75.0,80.0
2026-07-10,78.5,46,77.0,80.0
2026-07-11,78.5,52,77.0,80.0
2026-07-12,79.0,55,78.0,80.0
2026-07-13,78.5,75,77.0,80.0
2026-07-14,78.5,60,77.0,80.0
2026-07-15,78.5,34,77.0,80.0
2026-07-16,78.5,35,77.0,80.0
2026-07-17,78.5,48,77.0,80.0
2026-07-18,78.5,59,77.0,80.0
2026-07-19,78.5,61,77.0,80.0
2026-07-20,78.5,53,77.0,80.0
2026-07-21,78.5,68,77.0,80.0
2026-07-22,79.0,45,78.0,80.0
2026-07-23,78.5,43,77.0,80.0
2026-07-24,78.5,70,77.0,80.0
2026-07-25,78.5,85,77.0,80.0
2026-07-26,78.5,64,77.0,80.0
2026-07-27,79.0,50,78.0,80.0
2026-07-28,78.5,34,77.0,80.0
2026-07-29,79.0,48,78.0,80.0
2026-07-30,79.0,28,78.0,80.0
2026-07-31,79.0,50,78.0,80.0
2026-08-01,78.5,44,77.0,80.0
2026-08-02,78.5,56,77.0,80.0
2026-08-03,78.5,42,77.0,80.0
2026-08-04,79.0,36,78.0,80.0
2026-08-05,79.0,44,78.0,80.0
2026-08-06,78.5,49,77.0,80.0
2026-08-07,78.5,35,77.0,80.0
2026-08-08,78.5,37,77.0,80.0
2026-08-09,78.5,55,77.0,80.0
2026-08-10,78.5,38,77.0,80.0
2026-08-11,78.5,36,77.0,80.0
2026-08-12,77.5,59,75.0,80.0
2026-08-13,77.0,30,74.0,80.0
2026-08-14,76.5,44,73.0,80.0
2026-08-15,77.5,57,75.0,80.0
2026-08-16,77.5,61,75.0,80.0
2026-08-17,78.5,21,77.0,80.0
2026-08-19,78.5,34,77.0,80.0
2026-08-20,77.0,56,71.0,83.0
2026-08-21,78.5,42,77.0,80.0
2026-08-22,76.5,63,73.0,80.0
2026-08-23,77.5,54,75.0,80.0
2026-08-24,78.0,30,76.0,80.0
2026-08-25,77.5,29,75.0,80.0
2026-08-26,77.5,47,75.0,80.0
2026-08-27,78.0,53,76.0,80.0
2026-08-28,77.5,42,75.0,80.0
2026-08-29,77.0,49,74.0,80.0
2026-08-30,78.0,30,76.0,80.0
