datetime,avg_price,volume,min_price,max_price
2026-03-28,69.0,80,64.0,74.0
2026-03-29,70.0,114,65.0,75.0
2026-03-30,63.5,88,52.0,75.0
2026-03-31,68.5,70,67.0,70.0
2026-04-01,68.5,61,67.0,70.0
2026-04-02,69.0,65,67.0,71.0
2026-04-03,70.0,99,60.0,80.0
2026-04-04,68.5,81,67.0,70.0
2026-04-05,68.5,96,67.0,70.0
2026-04-06,97.0,112,45.0,149.0
2026-04-07,69.0,84,68.0,70.0
2026-04-08,70.0,110,65.0,75.0
2026-04-09,70.0,94,68.0,72.0
2026-04-10,70.0,151,60.0,80.0
2026-04-11,70.0,151,65.0,75.0
2026-04-12,70.0,112,66.0,74.0
2026-04-13,70.0,107,60.0,80.0
2026-04-14,70.0,119,60.0,80.0
2026-04-15,72.5,127,65.0,80.0
2026-04-16,74.0,106,69.0,79.0
2026-04-17,74.0,114,69.0,79.0
2026-04-18,75.0,85,73.0,77.0
2026-04-19,74.5,97,73.0,76.0
2026-04-20,73.5,110,67.0,80.0
2026-04-21,75.0,97,70.0,80.0
2026-04-22,75.0,101,70.0,80.0
2026-04-23,75.0,99,65.0,85.0
2026-04-24,81.0,208,68.0,94.0
2026-04-25,79.0,242,78.0,80.0
2026-04-26,79.0,136,78.0,80.0
2026-04-27,80.0,95,76.0,84.0
2026-04-28,80.0,150,75.0,85.0
2026-04-29,80.0,173,70.0,90.0
2026-04-30,79.5,94,78.0,81.0
2026-05-01,80.0,80,78.0,82.0
2026-05-02,80.0,100,78.0,82.0
2026-05-03,80.0,85,78.0,82.0
2026-05-04,80.0,76,78.0,82.0
2026-05-05,80.0,86,75.0,85.0
2026-05-06,84.5,137,74.0,95.0
2026-05-07,85.0,108,75.0,95.0
2026-05-08,85.0,94,80.0,90.0
2026-05-09,84.5,140,75.0,94.0
2026-05-10,85.0,123,75.0,95.0
2026-05-11,85.0,111,75.0,95.0
2026-05-12,84.0,101,73.0,95.0
2026-05-13,84.5,84,79.0,90.0
2026-05-14,84.5,98,79.0,90.0
2026-05-15,83.5,101,77.0,90.0
2026-05-16,84.5,74,83.0,86.0
2026-05-17,85.0,112,80.0,90.0
2026-05-18,82.5,120,75.0,90.0
2026-05-19,84.0,101,78.0,90.0
2026-05-20,84.0,99,78.0,90.0
2026-05-21,85.0,114,80.0,90.0
2026-05-22,85.0,104,80.0,90.0
2026-05-23,85.0,85,80.0,90.0
2026-05-24,83.5,89,77.0,90.0
2026-05-25,83.0,100,71.0,95.0
2026-05-26,85.0,111,75.0,95.0
2026-05-27,84.0,103,78.0,90.0
2026-05-28,85.0,80,80.0,90.0
2026-05-29,85.5,99,82.0,89.0
2026-05-30,85.0,165,75.0,95.0
2026-05-31,84.5,117,79.0,90.0
2026-06-01,85.0,104,75.0,95.0
2026-06-02,85.0,113,75.0,95.0
2026-06-03,85.0,86,80.0,90.0
2026-06-04,85.0,116,80.0,90.0
2026-06-05,82.5,121,75.0,90.0
2026-06-06,84.5,101,79.0,90.0
2026-06-07,84.5,76,83.0,86.0
2026-06-08,82.5,106,75.0,90.0
2026-06-09,84.5,89,79.0,90.0
2026-06-10,85.0,140,80.0,90.0
2026-06-11,85.0,158,75.0,95.0
2026-06-12,85.0,138,77.0,93.0
2026-06-13,86.5,143,80.0,93.0
2026-06-14,84.5,109,79.0,90.0
2026-06-15,86.0,90,82.0,90.0
2026-06-16,84.5,114,79.0,90.0
2026-06-17,89.0,267,78.0,100.0
2026-06-18,90.0,223,85.0,95.0
2026-06-19,90.0,190,85.0,95.0
2026-06-20,90.0,215,85.0,95.0
2026-06-21,90.0,158,85.0,95.0
2026-06-22,89.0,106,88.0,90.0
2026-06-23,90.0,136,85.0,95.0
2026-06-24,89.5,105,88.0,91.0
