datetime,avg_price,volume,min_price,max_price
2026-03-11,50.0,141,48,52
2026-03-12,50.0,130,48,52
2026-03-13,50.0,214,40,60
2026-03-14,48.0,295,36,60
2026-03-15,50.0,269,40,60
2026-03-16,50.0,243,40,60
2026-03-17,51.0,168,47,55
2026-03-18,50.0,220,40,60
2026-03-19,50.0,239,45,55
2026-03-20,50.0,132,46,54
2026-03-21,57.0,118,45,69
2026-03-22,59.5,117,49,70
2026-03-23,60.0,115,50,70
2026-03-24,60.0,125,46,74
2026-03-25,50.0,233,48,52
2026-03-26,50.0,327,48,52
2026-03-27,48.5,258,47,50
2026-03-28,49.0,283,47,51
2026-03-29,48.0,370,43,53
2026-03-30,48.0,314,43,53
2026-03-31,48.5,251,47,50
2026-04-01,48.5,253,47,50
2026-04-02,47.5,283,43,52
2026-04-03,44.5,307,34,55
2026-04-04,44.0,354,33,55
2026-04-05,45.0,366,35,55
2026-04-06,43.5,319,37,50
2026-04-07,45.0,294,40,50
2026-04-08,44.5,342,34,55
2026-04-09,43.5,396,32,55
2026-04-10,42.0,383,34,50
2026-04-11,45.0,398,35,55
2026-04-12,43.5,435,32,55
2026-04-13,44.5,344,35,54
2026-04-14,44.5,307,34,55
2026-04-15,44.5,324,34,55
2026-04-16,46.0,326,37,55
2026-04-17,46.0,433,33,59
2026-04-18,45.0,420,35,55
2026-04-19,43.0,400,31,55
2026-04-20,48.5,142,47,50
2026-04-21,46.5,224,43,50
2026-04-22,46.5,241,43,50
2026-04-23,47.0,297,39,55
2026-04-24,46.5,226,43,50
2026-04-25,45.5,319,32,59
2026-04-26,45.0,349,35,55
2026-04-27,45.0,281,35,55
2026-04-28,47.0,272,39,55
2026-04-29,45.0,256,35,55
2026-04-30,45.0,226,35,55
2026-05-01,43.5,326,35,52
2026-05-02,45.0,291,35,55
2026-05-03,42.5,301,35,50
2026-05-04,45.0,218,35,55
2026-05-05,48.5,183,47,50
2026-05-06,47.5,231,40,55
2026-05-07,47.0,224,39,55
2026-05-08,48.5,143,47,50
2026-05-09,48.0,271,40,56
2026-05-10,45.0,293,35,55
2026-05-11,49.0,163,48,50
2026-05-12,46.5,217,43,50
2026-05-13,48.5,133,47,50
2026-05-14,48.5,170,47,50
2026-05-15,48.5,163,47,50
2026-05-16,47.0,285,39,55
2026-05-17,44.5,261,37,52
2026-05-18,48.5,145,47,50
2026-05-19,48.5,142,47,50
2026-05-20,48.5,116,47,50
2026-05-21,48.5,166,47,50
2026-05-22,48.5,147,47,50
2026-05-23,48.5,122,47,50
2026-05-24,49.0,191,45,53
2026-05-25,50.0,130,48,52
2026-05-26,50.0,125,48,52
2026-05-27,60.0,247,30,90
2026-05-28,35.5,238,1,70
2026-05-29,49.0,174,48,50
2026-05-30,50.0,221,48,52
2026-05-31,49.0,170,47,51
2026-06-01,50.0,159,48,52
2026-06-02,54.0,281,28,80
2026-06-03,50.0,212,45,55
2026-06-04,50.0,190,48,52
2026-06-05,49.0,218,48,50
2026-06-06,50.0,193,48,52
2026-06-07,50.0,213,48,52
