datetime,avg_price,volume,min_price,max_price
2026-02-20,59.0,140,58,60
2026-02-21,60.0,209,58,62
2026-02-22,72.5,257,45,100
2026-02-23,77.5,234,45,110
2026-02-24,60.0,113,58,62
2026-02-25,60.5,211,53,68
2026-02-26,62.5,272,55,70
2026-02-27,62.0,247,52,72
2026-02-28,60.0,241,50,70
2026-03-01,60.0,235,50,70
2026-03-02,65.0,189,55,75
2026-03-03,65.0,170,55,75
2026-03-04,64.5,175,54,75
2026-03-05,62.5,198,55,70
2026-03-06,62.0,209,54,70
2026-03-07,64.0,174,58,70
2026-03-08,64.0,223,58,70
2026-03-09,63.5,191,55,72
2026-03-10,62.0,175,54,70
2026-03-11,65.0,187,60,70
2026-03-12,66.0,135,62,70
2026-03-13,66.0,217,57,75
2026-03-14,67.0,160,64,70
2026-03-15,64.5,207,59,70
2026-03-16,66.5,168,63,70
2026-03-17,68.5,94,67,70
2026-03-18,66.5,150,63,70
2026-03-19,67.0,145,59,75
2026-03-20,67.5,172,60,75
2026-03-21,68.5,76,67,70
2026-03-22,69.5,99,68,71
2026-03-23,70.0,72,65,75
2026-03-24,70.0,94,60,80
2026-03-25,67.0,133,55,79
2026-03-26,62.5,247,55,70
2026-03-27,63.0,159,59,67
2026-03-28,60.0,264,50,70
2026-03-29,61.5,241,55,68
2026-03-30,60.0,191,50,70
2026-03-31,60.0,213,52,68
2026-04-01,59.5,232,49,70
2026-04-02,60.0,215,50,70
2026-04-03,60.5,206,53,68
2026-04-04,60.0,178,58,62
2026-04-05,60.0,183,58,62
2026-04-06,60.0,197,50,70
2026-04-07,60.0,235,50,70
2026-04-08,59.5,239,49,70
2026-04-09,59.5,264,49,70
2026-04-10,60.0,280,50,70
2026-04-11,60.0,180,58,62
2026-04-12,60.0,293,50,70
2026-04-13,60.5,212,47,74
2026-04-14,62.5,205,55,70
2026-04-15,59.5,245,49,70
2026-04-16,62.0,205,54,70
2026-04-17,62.5,207,55,70
2026-04-18,59.5,262,49,70
2026-04-19,64.0,213,59,69
2026-04-20,64.0,126,62,66
2026-04-21,64.0,141,62,66
2026-04-22,64.0,125,62,66
2026-04-23,65.0,128,63,67
2026-04-24,65.0,107,62,68
2026-04-25,64.0,212,59,69
2026-04-26,60.0,261,50,70
2026-04-27,65.0,128,63,67
2026-04-28,65.0,112,63,67
2026-04-29,64.5,97,63,66
2026-04-30,64.0,109,62,66
2026-05-01,65.0,212,55,75
2026-05-02,64.0,171,59,69
2026-05-03,64.0,118,62,66
2026-05-04,65.0,124,62,68
2026-05-05,64.0,197,53,75
2026-05-06,63.5,209,57,70
2026-05-07,64.5,185,59,70
2026-05-08,66.0,183,62,70
2026-05-09,66.0,194,62,70
2026-05-10,66.5,221,59,74
2026-05-11,68.5,164,67,70
2026-05-12,66.5,148,63,70
2026-05-13,66.5,194,63,70
2026-05-14,66.5,169,63,70
2026-05-15,66.5,140,63,70
2026-05-16,64.0,207,58,70
2026-05-17,66.5,202,63,70
2026-05-18,66.5,175,63,70
2026-05-19,68.5,182,67,70
