datetime,avg_price,volume,min_price,max_price
2026-05-19,92.5,59,85.0,100.0
2026-05-20,93.5,42,92.0,95.0
2026-05-21,92.5,63,85.0,100.0
2026-05-22,95.0,67,90.0,100.0
2026-05-23,93.5,84,87.0,100.0
2026-05-24,92.5,83,85.0,100.0
2026-05-25,94.0,63,88.0,100.0
2026-05-26,95.0,66,90.0,100.0
2026-05-27,95.0,74,90.0,100.0
2026-05-28,95.0,80,90.0,100.0
2026-05-29,92.5,68,85.0,100.0
2026-05-30,95.0,81,85.0,105.0
2026-05-31,94.0,66,88.0,100.0
2026-06-01,94.0,33,93.0,95.0
2026-06-02,95.0,60,90.0,100.0
2026-06-03,92.5,61,85.0,100.0
2026-06-04,94.0,61,88.0,100.0
2026-06-05,95.0,66,90.0,100.0
2026-06-06,93.5,60,87.0,100.0
2026-06-07,78.0,92,55.0,101.0
2026-06-08,95.0,85,85.0,105.0
2026-06-09,95.0,66,90.0,100.0
2026-06-10,95.0,63,90.0,100.0
2026-06-11,97.0,59,94.0,100.0
2026-06-12,95.0,63,90.0,100.0
2026-06-13,94.0,83,88.0,100.0
2026-06-14,95.0,73,90.0,100.0
2026-06-15,96.0,64,92.0,100.0
2026-06-16,95.0,75,90.0,100.0
2026-06-17,94.5,58,89.0,100.0
2026-06-18,94.0,56,88.0,100.0
2026-06-19,95.0,42,90.0,100.0
2026-06-20,95.5,53,94.0,97.0
2026-06-21,95.0,53,93.0,97.0
2026-06-22,92.5,80,85.0,100.0
2026-06-23,94.0,44,93.0,95.0
2026-06-24,93.5,54,92.0,95.0
2026-06-25,93.0,58,90.0,96.0
2026-06-26,93.5,43,92.0,95.0
2026-06-27,90.0,53,85.0,95.0
2026-06-28,90.0,74,85.0,95.0
2026-06-29,90.0,58,85.0,95.0
2026-06-30,94.0,59,88.0,100.0
2026-07-01,90.0,60,85.0,95.0
2026-07-02,92.0,51,89.0,95.0
2026-07-03,91.0,60,85.0,97.0
2026-07-04,92.0,83,89.0,95.0
2026-07-05,90.5,74,86.0,95.0
2026-07-06,95.0,46,91.0,99.0
2026-07-07,91.5,43,85.0,98.0
2026-07-08,89.0,52,83.0,95.0
2026-07-09,91.5,76,88.0,95.0
2026-07-10,93.5,48,92.0,95.0
2026-07-11,93.5,37,92.0,95.0
2026-07-12,92.5,102,85.0,100.0
2026-07-13,92.5,71,85.0,100.0
2026-07-14,91.5,66,88.0,95.0
2026-07-15,94.0,53,92.0,96.0
2026-07-16,92.5,71,85.0,100.0
2026-07-17,90.0,65,85.0,95.0
2026-07-18,92.5,75,85.0,100.0
2026-07-19,92.5,69,85.0,100.0
2026-07-20,92.5,59,90.0,95.0
2026-07-21,93.5,47,92.0,95.0
2026-07-22,93.5,57,92.0,95.0
2026-07-23,94.5,56,93.0,96.0
2026-07-24,91.0,63,87.0,95.0
2026-07-25,93.5,48,92.0,95.0
2026-07-26,94.0,61,92.0,96.0
2026-07-27,91.5,58,88.0,95.0
2026-07-28,93.5,73,89.0,98.0
2026-07-29,91.5,60,88.0,95.0
2026-07-30,93.5,43,92.0,95.0
2026-07-31,88.0,78,76.0,100.0
2026-08-01,93.5,71,92.0,95.0
2026-08-02,94.0,63,92.0,96.0
2026-08-03,93.5,53,92.0,95.0
2026-08-04,95.0,36,94.0,96.0
2026-08-05,94.0,48,93.0,95.0
2026-08-06,94.0,62,93.0,95.0
2026-08-07,94.0,60,93.0,95.0
2026-08-08,93.5,57,92.0,95.0
2026-08-09,94.0,63,92.0,96.0
2026-08-10,96.0,29,93.0,99.0
2026-08-11,94.0,41,93.0,95.0
2026-08-12,94.0,46,93.0,95.0
2026-08-13,95.5,51,94.0,97.0
2026-08-14,96.5,63,93.0,100.0
2026-08-15,95.0,79,90.0,100.0
