datetime,avg_price,volume,min_price,max_price
2026-03-27,64.5,82,54.0,75.0
2026-03-28,62.5,117,55.0,70.0
2026-03-29,62.5,90,55.0,70.0
2026-03-30,63.0,57,51.0,75.0
2026-03-31,65.0,62,60.0,70.0
2026-04-01,61.0,88,52.0,70.0
2026-04-02,65.5,85,55.0,76.0
2026-04-03,66.0,85,62.0,70.0
2026-04-04,62.5,99,55.0,70.0
2026-04-05,67.0,65,64.0,70.0
2026-04-06,66.0,89,62.0,70.0
2026-04-07,64.5,76,59.0,70.0
2026-04-08,65.0,78,60.0,70.0
2026-04-09,65.0,119,55.0,75.0
2026-04-10,68.0,96,63.0,73.0
2026-04-11,66.0,117,62.0,70.0
2026-04-12,66.0,93,62.0,70.0
2026-04-13,68.5,72,67.0,70.0
2026-04-14,68.5,64,67.0,70.0
2026-04-15,68.5,65,67.0,70.0
2026-04-16,68.5,59,67.0,70.0
2026-04-17,66.5,60,63.0,70.0
2026-04-18,69.0,80,67.0,71.0
2026-04-19,68.5,56,67.0,70.0
2026-04-20,69.5,54,69.0,70.0
2026-04-21,67.5,55,61.0,74.0
2026-04-22,68.5,53,67.0,70.0
2026-04-23,69.0,58,64.0,74.0
2026-04-24,68.5,57,67.0,70.0
2026-04-25,67.0,85,64.0,70.0
2026-04-26,67.0,91,64.0,70.0
2026-04-27,68.5,62,67.0,70.0
2026-04-28,68.5,42,67.0,70.0
2026-04-29,66.5,72,63.0,70.0
2026-04-30,68.5,53,67.0,70.0
2026-05-01,67.0,87,64.0,70.0
2026-05-02,64.5,91,55.0,74.0
2026-05-03,67.5,64,65.0,70.0
2026-05-04,68.5,48,67.0,70.0
2026-05-05,68.5,60,67.0,70.0
2026-05-06,68.5,65,67.0,70.0
2026-05-07,68.5,59,67.0,70.0
2026-05-08,68.5,77,67.0,70.0
2026-05-09,68.5,91,67.0,70.0
2026-05-10,68.5,65,67.0,70.0
2026-05-11,68.5,49,67.0,70.0
2026-05-12,68.5,62,67.0,70.0
2026-05-13,69.5,61,69.0,70.0
2026-05-14,68.5,61,67.0,70.0
2026-05-15,68.5,68,67.0,70.0
2026-05-16,69.5,66,69.0,70.0
2026-05-17,68.5,73,67.0,70.0
2026-05-18,69.0,62,68.0,70.0
2026-05-19,69.0,46,68.0,70.0
2026-05-20,69.0,69,68.0,70.0
2026-05-21,69.0,61,68.0,70.0
2026-05-22,62.5,73,55.0,70.0
2026-05-23,70.0,70,68.0,72.0
2026-05-24,68.5,77,67.0,70.0
2026-05-25,68.5,37,67.0,70.0
2026-05-26,68.5,38,67.0,70.0
2026-05-27,69.5,44,68.0,71.0
2026-05-28,69.0,48,67.0,71.0
2026-05-29,69.0,44,68.0,70.0
2026-05-30,65.0,80,50.0,80.0
2026-05-31,70.0,60,68.0,72.0
2026-06-01,69.0,63,68.0,70.0
2026-06-02,68.5,57,67.0,70.0
2026-06-03,69.5,62,69.0,70.0
2026-06-04,69.0,35,68.0,70.0
2026-06-05,68.0,86,56.0,80.0
2026-06-06,69.5,56,69.0,70.0
2026-06-07,69.0,59,67.0,71.0
2026-06-08,68.5,45,67.0,70.0
2026-06-09,68.5,42,67.0,70.0
2026-06-10,69.0,50,68.0,70.0
2026-06-11,68.5,70,67.0,70.0
2026-06-12,68.5,55,67.0,70.0
2026-06-13,68.5,60,67.0,70.0
2026-06-14,67.0,61,64.0,70.0
2026-06-15,68.5,70,67.0,70.0
2026-06-16,69.0,41,68.0,70.0
2026-06-17,67.5,48,65.0,70.0
2026-06-18,66.5,45,63.0,70.0
2026-06-19,66.5,58,63.0,70.0
2026-06-20,65.0,101,55.0,75.0
2026-06-21,67.0,89,64.0,70.0
2026-06-22,65.5,92,55.0,76.0
2026-06-23,68.5,53,67.0,70.0
