datetime,avg_price,volume,min_price,max_price
2026-03-24,70.0,31,55.0,85.0
2026-03-25,60.0,58,50.0,70.0
2026-03-26,59.5,58,59.0,60.0
2026-03-27,60.0,85,50.0,70.0
2026-03-28,60.0,51,58.0,62.0
2026-03-29,60.0,62,58.0,62.0
2026-03-30,59.0,61,58.0,60.0
2026-03-31,67.5,104,45.0,90.0
2026-04-01,60.0,67,56.0,64.0
2026-04-02,60.0,75,55.0,65.0
2026-04-03,59.0,59,58.0,60.0
2026-04-04,59.5,76,59.0,60.0
2026-04-05,85.0,122,30.0,140.0
2026-04-06,64.0,108,48.0,80.0
2026-04-07,58.5,81,52.0,65.0
2026-04-08,61.5,106,55.0,68.0
2026-04-09,60.0,120,55.0,65.0
2026-04-10,59.5,119,52.0,67.0
2026-04-11,60.0,123,55.0,65.0
2026-04-12,60.0,89,58.0,62.0
2026-04-13,59.5,139,49.0,70.0
2026-04-14,62.5,98,55.0,70.0
2026-04-15,63.5,61,62.0,65.0
2026-04-16,64.5,109,55.0,74.0
2026-04-17,63.5,73,62.0,65.0
2026-04-18,62.5,118,58.0,67.0
2026-04-19,62.5,118,55.0,70.0
2026-04-20,64.0,114,58.0,70.0
2026-04-21,64.0,113,58.0,70.0
2026-04-22,63.5,95,52.0,75.0
2026-04-23,64.5,91,59.0,70.0
2026-04-24,62.5,99,55.0,70.0
2026-04-25,62.5,136,55.0,70.0
2026-04-26,63.5,124,57.0,70.0
2026-04-27,62.5,92,55.0,70.0
2026-04-28,62.0,110,54.0,70.0
2026-04-29,62.5,81,55.0,70.0
2026-04-30,64.5,94,59.0,70.0
2026-05-01,65.0,100,60.0,70.0
2026-05-02,64.0,108,58.0,70.0
2026-05-03,64.0,105,58.0,70.0
2026-05-04,65.0,100,60.0,70.0
2026-05-05,65.0,84,60.0,70.0
2026-05-06,62.5,104,55.0,70.0
2026-05-07,68.5,65,67.0,70.0
2026-05-08,68.5,52,67.0,70.0
2026-05-09,65.0,132,60.0,70.0
2026-05-10,67.5,94,65.0,70.0
2026-05-11,68.5,64,67.0,70.0
2026-05-12,68.5,54,67.0,70.0
2026-05-13,67.0,72,64.0,70.0
2026-05-14,69.0,58,68.0,70.0
2026-05-15,68.5,63,67.0,70.0
2026-05-16,66.5,111,63.0,70.0
2026-05-17,67.0,88,64.0,70.0
2026-05-18,66.5,89,63.0,70.0
2026-05-19,68.5,60,67.0,70.0
2026-05-20,67.5,81,65.0,70.0
2026-05-21,69.0,55,68.0,70.0
2026-05-22,68.5,89,67.0,70.0
2026-05-23,68.5,87,67.0,70.0
2026-05-24,69.0,81,67.0,71.0
2026-05-25,68.5,61,67.0,70.0
2026-05-26,68.5,57,67.0,70.0
2026-05-27,65.0,67,60.0,70.0
2026-05-28,66.5,71,63.0,70.0
2026-05-29,68.5,65,67.0,70.0
2026-05-30,67.5,79,65.0,70.0
2026-05-31,67.5,89,65.0,70.0
2026-06-01,72.5,109,60.0,85.0
2026-06-02,68.5,106,67.0,70.0
2026-06-03,55.0,98,40.0,70.0
2026-06-04,68.5,67,67.0,70.0
2026-06-05,68.5,93,67.0,70.0
2026-06-06,68.5,90,67.0,70.0
2026-06-07,68.5,83,67.0,70.0
2026-06-08,68.5,69,67.0,70.0
2026-06-09,69.0,68,67.0,71.0
2026-06-10,68.5,61,67.0,70.0
2026-06-11,68.5,79,67.0,70.0
2026-06-12,68.5,63,67.0,70.0
2026-06-13,66.5,89,63.0,70.0
2026-06-14,68.5,71,67.0,70.0
2026-06-15,69.5,60,69.0,70.0
2026-06-16,68.5,71,67.0,70.0
2026-06-17,68.5,52,64.0,73.0
2026-06-18,66.5,72,63.0,70.0
2026-06-19,67.5,66,65.0,70.0
2026-06-20,68.5,63,67.0,70.0
