datetime,avg_price,volume,min_price,max_price
2026-03-05,74.5,163,69,80
2026-03-06,76.0,137,72,80
2026-03-07,73.5,172,67,80
2026-03-08,76.0,184,72,80
2026-03-09,75.0,141,70,80
2026-03-10,73.5,158,67,80
2026-03-11,75.0,135,70,80
2026-03-12,78.0,143,73,83
2026-03-13,76.5,166,73,80
2026-03-14,78.5,125,77,80
2026-03-15,78.5,136,77,80
2026-03-16,78.5,131,77,80
2026-03-17,76.5,140,73,80
2026-03-18,78.5,92,77,80
2026-03-19,78.5,98,77,80
2026-03-20,77.5,125,75,80
2026-03-21,80.0,103,78,82
2026-03-22,82.5,105,65,100
2026-03-23,79.0,49,78,80
2026-03-24,78.0,92,66,90
2026-03-25,78.5,74,77,80
2026-03-26,75.5,153,68,83
2026-03-27,74.5,139,69,80
2026-03-28,75.0,170,70,80
2026-03-29,75.0,200,65,85
2026-03-30,73.5,170,67,80
2026-03-31,74.0,165,65,83
2026-04-01,78.0,165,72,84
2026-04-02,75.0,165,65,85
2026-04-03,76.5,178,73,80
2026-04-04,76.5,145,73,80
2026-04-05,73.5,209,62,85
2026-04-06,74.5,217,64,85
2026-04-07,77.0,159,74,80
2026-04-08,79.0,147,77,81
2026-04-09,79.0,146,78,80
2026-04-10,78.5,149,77,80
2026-04-11,79.5,151,78,81
2026-04-12,75.0,249,65,85
2026-04-13,79.5,111,78,81
2026-04-14,78.5,145,77,80
2026-04-15,78.5,122,77,80
2026-04-16,79.0,149,78,80
2026-04-17,79.0,141,78,80
2026-04-18,79.0,193,77,81
2026-04-19,80.0,190,78,82
2026-04-20,75.0,181,60,90
2026-04-21,75.0,229,50,100
2026-04-22,80.0,117,78,82
2026-04-23,85.0,205,60,110
2026-04-24,80.0,110,78,82
2026-04-25,82.5,271,65,100
2026-04-26,80.0,148,78,82
2026-04-27,80.0,146,75,85
2026-04-28,80.0,121,78,82
2026-04-29,80.0,147,78,82
2026-04-30,79.0,125,78,80
2026-05-01,80.0,137,78,82
2026-05-02,80.0,145,78,82
2026-05-03,80.0,163,78,82
2026-05-04,81.5,154,75,88
2026-05-05,80.0,156,75,85
2026-05-06,80.0,168,70,90
2026-05-07,83.5,130,82,85
2026-05-08,84.0,190,79,89
2026-05-09,84.0,163,82,86
2026-05-10,84.0,131,83,85
2026-05-11,83.5,114,82,85
2026-05-12,83.5,163,82,85
2026-05-13,83.5,127,82,85
2026-05-14,84.5,138,83,86
2026-05-15,84.0,156,79,89
2026-05-16,84.0,120,83,85
2026-05-17,83.5,129,82,85
2026-05-18,84.0,129,79,89
2026-05-19,85.0,106,83,87
2026-05-20,85.0,111,83,87
2026-05-21,85.0,160,80,90
2026-05-22,84.0,153,83,85
2026-05-23,85.0,131,83,87
2026-05-24,84.5,152,83,86
2026-05-25,85.0,90,83,87
2026-05-26,84.0,93,83,85
2026-05-27,84.5,93,83,86
2026-05-28,90.0,130,60,120
2026-05-29,83.5,117,82,85
2026-05-30,83.5,132,82,85
2026-05-31,84.0,97,82,86
2026-06-01,83.5,100,82,85
