datetime,avg_price,volume,min_price,max_price
2026-06-05,100.0,56,98.0,102.0
2026-06-06,90.0,73,70.0,110.0
2026-06-07,100.0,43,99.0,101.0
2026-06-08,99.0,66,98.0,100.0
2026-06-09,99.0,38,98.0,100.0
2026-06-10,100.0,54,98.0,102.0
2026-06-11,99.5,41,96.0,103.0
2026-06-12,98.5,34,97.0,100.0
2026-06-13,99.0,39,98.0,100.0
2026-06-14,77.5,81,55.0,100.0
2026-06-15,102.5,62,85.0,120.0
2026-06-16,98.5,44,97.0,100.0
2026-06-17,97.5,54,95.0,100.0
2026-06-18,65.5,71,1.0,130.0
2026-06-19,98.5,49,97.0,100.0
2026-06-20,98.5,75,97.0,100.0
2026-06-21,98.5,46,97.0,100.0
2026-06-22,99.0,41,98.0,100.0
2026-06-23,94.5,60,89.0,100.0
2026-06-24,92.5,99,85.0,100.0
2026-06-25,92.5,69,85.0,100.0
2026-06-26,95.5,63,92.0,99.0
2026-06-27,93.5,58,92.0,95.0
2026-06-28,95.0,62,90.0,100.0
2026-06-29,92.5,49,85.0,100.0
2026-06-30,94.0,62,88.0,100.0
2026-07-01,95.0,52,85.0,105.0
2026-07-02,95.0,31,90.0,100.0
2026-07-03,95.0,57,90.0,100.0
2026-07-04,96.5,60,93.0,100.0
2026-07-05,94.0,66,88.0,100.0
2026-07-06,95.0,52,90.0,100.0
2026-07-07,94.0,66,88.0,100.0
2026-07-08,95.0,71,90.0,100.0
2026-07-09,93.0,42,86.0,100.0
2026-07-10,95.0,56,90.0,100.0
2026-07-11,94.0,76,88.0,100.0
2026-07-12,92.5,70,85.0,100.0
2026-07-13,95.0,68,90.0,100.0
2026-07-14,95.0,61,90.0,100.0
2026-07-15,96.0,68,92.0,100.0
2026-07-16,98.5,37,97.0,100.0
2026-07-17,97.0,82,94.0,100.0
2026-07-18,96.5,73,93.0,100.0
2026-07-19,97.0,57,94.0,100.0
2026-07-20,97.0,60,94.0,100.0
2026-07-21,96.0,72,92.0,100.0
2026-07-22,97.5,75,95.0,100.0
2026-07-23,94.5,73,89.0,100.0
2026-07-24,95.0,53,90.0,100.0
2026-07-25,95.0,74,85.0,105.0
2026-07-26,96.5,72,93.0,100.0
2026-07-27,96.0,51,92.0,100.0
2026-07-28,97.0,46,94.0,100.0
2026-07-29,95.0,72,90.0,100.0
2026-07-30,98.5,54,97.0,100.0
2026-07-31,99.0,38,98.0,100.0
2026-08-01,99.0,40,98.0,100.0
2026-08-02,98.5,73,97.0,100.0
2026-08-03,99.0,39,98.0,100.0
2026-08-04,98.5,38,97.0,100.0
2026-08-05,98.5,49,97.0,100.0
2026-08-06,96.5,49,93.0,100.0
2026-08-07,98.5,50,97.0,100.0
2026-08-08,96.0,55,92.0,100.0
2026-08-09,97.0,68,94.0,100.0
2026-08-10,98.5,69,97.0,100.0
2026-08-11,99.0,54,98.0,100.0
2026-08-12,97.0,59,94.0,100.0
2026-08-13,98.5,38,97.0,100.0
2026-08-14,98.5,66,97.0,100.0
2026-08-15,99.0,64,98.0,100.0
2026-08-16,98.5,55,97.0,100.0
2026-08-17,98.5,36,97.0,100.0
2026-08-18,99.0,47,98.0,100.0
2026-08-19,97.0,46,94.0,100.0
2026-08-20,98.5,44,97.0,100.0
2026-08-21,96.5,62,93.0,100.0
2026-08-22,95.5,60,94.0,97.0
2026-08-23,95.5,54,94.0,97.0
2026-08-24,95.0,32,93.0,97.0
2026-08-25,95.0,44,93.0,97.0
2026-08-26,94.5,61,90.0,99.0
2026-08-27,94.0,64,88.0,100.0
2026-08-28,95.0,54,93.0,97.0
2026-08-29,95.0,54,93.0,97.0
2026-08-30,94.0,42,93.0,95.0
2026-08-31,94.0,42,92.0,96.0
2026-09-01,93.0,43,89.0,97.0
