datetime,avg_price,volume,min_price,max_price
2026-02-20,71.0,54,65,77
2026-02-21,70.0,62,65,75
2026-02-22,68.5,52,67,70
2026-02-23,68.5,55,67,70
2026-02-24,68.5,32,67,70
2026-02-25,69.0,50,68,70
2026-02-26,68.5,36,67,70
2026-02-27,70.0,52,65,75
2026-02-28,69.0,46,68,70
2026-03-01,70.0,39,68,72
2026-03-02,69.5,31,69,70
2026-03-03,69.0,42,68,70
2026-03-04,69.0,37,68,70
2026-03-05,70.5,54,69,72
2026-03-06,75.0,51,60,90
2026-03-07,70.0,36,68,72
2026-03-08,70.0,65,65,75
2026-03-09,69.0,42,68,70
2026-03-10,67.5,46,60,75
2026-03-11,69.0,56,68,70
2026-03-12,92.0,49,65,119
2026-03-13,91.0,36,63,119
2026-03-14,69.5,37,69,70
2026-03-15,69.0,71,68,70
2026-03-16,69.0,46,68,70
2026-03-17,69.5,39,69,70
2026-03-18,95.0,56,60,130
2026-03-19,69.0,33,68,70
2026-03-20,69.5,40,69,70
2026-03-21,77.0,17,65,89
2026-03-22,72.5,25,60,85
2026-03-23,76.5,21,68,85
2026-03-24,74.0,21,73,75
2026-03-25,69.5,15,69,70
2026-03-26,70.0,41,60,80
2026-03-27,81.0,52,62,100
2026-03-28,67.5,51,60,75
2026-03-29,45.5,46,1,90
2026-03-30,82.5,45,65,100
2026-03-31,69.5,23,69,70
2026-04-01,69.0,45,68,70
2026-04-02,70.0,46,60,80
2026-04-03,69.5,29,69,70
2026-04-04,73.0,47,61,85
2026-04-05,70.0,68,65,75
2026-04-06,70.5,48,69,72
2026-04-07,70.0,42,65,75
2026-04-08,71.0,35,68,74
2026-04-09,68.5,46,62,75
2026-04-10,69.5,36,68,71
2026-04-11,70.0,65,60,80
2026-04-12,71.0,79,67,75
2026-04-13,68.5,57,62,75
2026-04-14,73.5,24,72,75
2026-04-15,71.5,34,68,75
2026-04-16,71.5,57,65,78
2026-04-17,74.0,24,73,75
2026-04-18,73.5,44,72,75
2026-04-19,74.5,32,73,76
2026-04-20,74.0,41,73,75
2026-04-21,73.5,54,72,75
2026-04-22,74.0,23,73,75
2026-04-23,73.5,35,72,75
2026-04-24,73.5,42,72,75
2026-04-25,74.0,41,73,75
2026-04-26,72.5,65,65,80
2026-04-27,73.0,60,66,80
2026-04-28,73.5,42,72,75
2026-04-29,74.5,41,74,75
2026-04-30,73.5,38,72,75
2026-05-01,74.0,32,73,75
2026-05-02,73.5,36,72,75
2026-05-03,73.5,32,72,75
2026-05-04,74.0,24,70,78
2026-05-05,73.5,23,72,75
2026-05-06,95.0,38,60,130
2026-05-07,74.0,49,73,75
2026-05-08,74.5,38,74,75
2026-05-09,73.5,86,72,75
2026-05-10,74.0,39,73,75
2026-05-11,73.5,28,72,75
2026-05-12,73.5,42,72,75
2026-05-13,73.5,44,72,75
2026-05-14,73.5,30,72,75
2026-05-15,74.5,25,74,75
2026-05-16,74.5,38,74,75
2026-05-17,98.5,50,67,130
2026-05-18,74.5,27,74,75
2026-05-19,75.0,51,74,76
