datetime,avg_price,volume,min_price,max_price
2026-02-27,105.0,104,60,150
2026-02-28,70.0,94,68,72
2026-03-01,100.0,86,60,140
2026-03-02,69.0,49,68,70
2026-03-03,69.5,79,69,70
2026-03-04,82.5,72,65,100
2026-03-05,77.5,81,55,100
2026-03-06,70.0,47,68,72
2026-03-07,95.0,75,60,130
2026-03-08,69.0,65,68,70
2026-03-09,69.0,40,68,70
2026-03-10,69.0,39,68,70
2026-03-11,69.0,25,68,70
2026-03-12,96.0,67,62,130
2026-03-13,69.0,33,68,70
2026-03-14,70.0,46,68,72
2026-03-15,69.5,52,68,71
2026-03-16,70.0,30,68,72
2026-03-17,69.0,36,68,70
2026-03-18,70.0,57,60,80
2026-03-19,70.0,42,68,72
2026-03-20,69.5,28,69,70
2026-03-21,77.0,35,69,85
2026-03-22,80.0,39,70,90
2026-03-23,82.0,27,74,90
2026-03-24,79.5,16,79,80
2026-03-25,69.0,27,68,70
2026-03-26,68.5,35,67,70
2026-03-27,70.0,57,68,72
2026-03-28,68.5,41,67,70
2026-03-29,68.5,51,67,70
2026-03-30,69.0,40,68,70
2026-03-31,68.5,40,67,70
2026-04-01,70.0,61,68,72
2026-04-02,69.0,63,67,71
2026-04-03,69.0,63,68,70
2026-04-04,69.0,82,68,70
2026-04-05,69.0,80,68,70
2026-04-06,69.0,55,68,70
2026-04-07,81.0,66,62,100
2026-04-08,72.5,61,65,80
2026-04-09,69.5,87,68,71
2026-04-10,68.5,67,67,70
2026-04-11,69.0,84,68,70
2026-04-12,70.0,108,60,80
2026-04-13,69.0,59,68,70
2026-04-14,100.0,97,60,140
2026-04-15,122.0,114,60,184
2026-04-16,77.5,79,65,90
2026-04-17,87.5,90,55,120
2026-04-18,69.0,77,68,70
2026-04-19,97.5,77,50,145
2026-04-20,69.0,44,68,70
2026-04-21,70.0,69,65,75
2026-04-22,70.0,72,65,75
2026-04-23,65.0,53,50,80
2026-04-24,66.0,59,57,75
2026-04-25,80.0,92,60,100
2026-04-26,90.0,110,60,120
2026-04-27,75.0,45,60,90
2026-04-28,88.0,84,56,120
2026-04-29,75.0,60,60,90
2026-04-30,69.5,51,68,71
2026-05-01,80.0,74,60,100
2026-05-02,90.0,101,60,120
2026-05-03,68.5,98,62,75
2026-05-04,70.0,27,68,72
2026-05-05,80.0,70,60,100
2026-05-06,71.0,67,68,74
2026-05-07,69.5,53,69,70
2026-05-08,69.0,46,68,70
2026-05-09,70.0,106,68,72
2026-05-10,70.0,70,69,71
2026-05-11,70.0,43,68,72
2026-05-12,69.5,66,69,70
2026-05-13,70.0,72,65,75
2026-05-14,70.0,76,65,75
2026-05-15,72.5,50,65,80
2026-05-16,73.5,45,72,75
2026-05-17,72.5,87,65,80
2026-05-18,75.0,56,70,80
2026-05-19,72.5,85,65,80
2026-05-20,73.5,51,72,75
2026-05-21,72.5,61,45,100
2026-05-22,73.5,46,72,75
2026-05-23,75.0,57,70,80
2026-05-24,73.5,43,72,75
2026-05-25,73.5,59,72,75
2026-05-26,73.5,48,72,75
