datetime,avg_price,volume,min_price,max_price
2026-04-15,83.5,135,77.0,90.0
2026-04-16,85.0,136,80.0,90.0
2026-04-17,85.0,129,80.0,90.0
2026-04-18,85.0,163,75.0,95.0
2026-04-19,85.0,186,75.0,95.0
2026-04-20,86.5,111,83.0,90.0
2026-04-21,84.5,148,74.0,95.0
2026-04-22,87.0,127,83.0,91.0
2026-04-23,87.0,120,84.0,90.0
2026-04-24,85.0,117,75.0,95.0
2026-04-25,89.0,110,87.0,91.0
2026-04-26,87.5,132,80.0,95.0
2026-04-27,85.0,131,75.0,95.0
2026-04-28,87.0,136,84.0,90.0
2026-04-29,88.0,114,84.0,92.0
2026-04-30,86.5,114,83.0,90.0
2026-05-01,84.5,111,79.0,90.0
2026-05-02,85.0,155,80.0,90.0
2026-05-03,85.0,141,80.0,90.0
2026-05-04,86.5,121,83.0,90.0
2026-05-05,87.0,110,84.0,90.0
2026-05-06,86.5,126,83.0,90.0
2026-05-07,87.0,117,84.0,90.0
2026-05-08,87.0,93,84.0,90.0
2026-05-09,87.0,113,84.0,90.0
2026-05-10,88.5,101,87.0,90.0
2026-05-11,88.5,91,87.0,90.0
2026-05-12,88.5,96,87.0,90.0
2026-05-13,88.5,109,87.0,90.0
2026-05-14,89.0,92,88.0,90.0
2026-05-15,88.5,88,87.0,90.0
2026-05-16,88.5,118,87.0,90.0
2026-05-17,88.5,125,87.0,90.0
2026-05-18,88.5,86,87.0,90.0
2026-05-19,88.5,61,87.0,90.0
2026-05-20,89.0,99,88.0,90.0
2026-05-21,104.0,105,78.0,130.0
2026-05-22,88.5,101,87.0,90.0
2026-05-23,88.5,110,87.0,90.0
2026-05-24,88.5,115,87.0,90.0
2026-05-25,89.0,93,83.0,95.0
2026-05-26,86.5,88,83.0,90.0
2026-05-27,88.5,66,87.0,90.0
2026-05-28,87.0,108,84.0,90.0
2026-05-29,86.5,122,83.0,90.0
2026-05-30,88.5,81,87.0,90.0
2026-05-31,86.5,118,83.0,90.0
2026-06-01,85.0,125,80.0,90.0
2026-06-02,87.0,118,84.0,90.0
2026-06-03,87.0,104,84.0,90.0
2026-06-04,87.0,117,84.0,90.0
2026-06-05,86.5,101,83.0,90.0
2026-06-06,87.0,133,84.0,90.0
2026-06-07,86.5,98,83.0,90.0
2026-06-08,84.5,98,77.0,92.0
2026-06-09,86.5,86,83.0,90.0
2026-06-10,88.5,90,87.0,90.0
2026-06-11,88.5,76,87.0,90.0
2026-06-12,87.0,86,84.0,90.0
2026-06-13,87.0,121,84.0,90.0
2026-06-14,87.0,103,84.0,90.0
2026-06-15,88.5,73,87.0,90.0
2026-06-16,87.0,88,84.0,90.0
2026-06-17,87.5,76,85.0,90.0
2026-06-18,86.0,100,82.0,90.0
2026-06-19,87.5,104,80.0,95.0
2026-06-20,87.0,137,79.0,95.0
2026-06-21,84.0,134,78.0,90.0
2026-06-22,86.5,113,83.0,90.0
2026-06-23,88.0,122,83.0,93.0
2026-06-24,88.5,91,87.0,90.0
2026-06-25,87.0,103,84.0,90.0
2026-06-26,86.5,105,83.0,90.0
2026-06-27,85.0,100,83.0,87.0
2026-06-28,84.5,138,79.0,90.0
2026-06-29,82.0,133,74.0,90.0
2026-06-30,86.5,96,83.0,90.0
2026-07-01,87.0,91,84.0,90.0
2026-07-02,87.0,68,84.0,90.0
2026-07-03,87.5,116,85.0,90.0
2026-07-04,85.0,149,80.0,90.0
2026-07-05,86.5,107,83.0,90.0
2026-07-06,88.5,73,87.0,90.0
2026-07-07,87.0,90,84.0,90.0
2026-07-08,86.0,93,82.0,90.0
2026-07-09,86.0,102,82.0,90.0
2026-07-10,86.0,93,82.0,90.0
2026-07-11,85.0,112,80.0,90.0
2026-07-12,85.0,140,80.0,90.0
