datetime,avg_price,volume,min_price,max_price
2026-03-09,85.0,87,75,95
2026-03-10,82.5,87,75,90
2026-03-11,80.0,62,78,82
2026-03-12,78.5,85,67,90
2026-03-13,83.5,83,82,85
2026-03-14,82.5,105,75,90
2026-03-15,85.0,101,75,95
2026-03-16,84.5,77,79,90
2026-03-17,84.5,94,84,85
2026-03-18,85.5,68,84,87
2026-03-19,84.5,58,84,85
2026-03-20,82.5,91,75,90
2026-03-21,87.5,36,85,90
2026-03-22,90.0,55,80,100
2026-03-23,90.0,51,80,100
2026-03-24,90.0,32,80,100
2026-03-25,82.5,67,75,90
2026-03-26,81.0,96,77,85
2026-03-27,83.5,43,82,85
2026-03-28,83.5,87,82,85
2026-03-29,83.5,94,82,85
2026-03-30,82.5,93,75,90
2026-03-31,85.0,78,83,87
2026-04-01,83.5,83,82,85
2026-04-02,84.0,77,82,86
2026-04-03,83.5,87,82,85
2026-04-04,84.0,66,82,86
2026-04-05,83.5,75,82,85
2026-04-06,84.0,62,83,85
2026-04-07,83.5,56,82,85
2026-04-08,85.0,76,80,90
2026-04-09,85.0,145,80,90
2026-04-10,85.0,150,80,90
2026-04-11,85.0,148,80,90
2026-04-12,84.5,114,81,88
2026-04-13,85.0,78,82,88
2026-04-14,85.0,115,80,90
2026-04-15,84.5,220,79,90
2026-04-16,82.5,177,75,90
2026-04-17,85.0,118,81,89
2026-04-18,82.5,169,75,90
2026-04-19,84.5,111,75,94
2026-04-20,86.5,93,83,90
2026-04-21,84.5,86,83,86
2026-04-22,87.0,82,84,90
2026-04-23,85.0,96,75,95
2026-04-24,84.5,75,79,90
2026-04-25,87.0,131,84,90
2026-04-26,85.0,111,71,99
2026-04-27,87.0,65,84,90
2026-04-28,86.5,105,83,90
2026-04-29,87.0,106,84,90
2026-04-30,82.0,104,74,90
2026-05-01,85.5,100,76,95
2026-05-02,87.5,133,80,95
2026-05-03,88.5,101,87,90
2026-05-04,87.0,87,84,90
2026-05-05,86.5,88,83,90
2026-05-06,88.5,110,87,90
2026-05-07,87.0,96,84,90
2026-05-08,88.5,101,87,90
2026-05-09,86.5,104,83,90
2026-05-10,87.5,108,85,90
2026-05-11,86.5,95,83,90
2026-05-12,86.5,127,83,90
2026-05-13,87.5,67,85,90
2026-05-14,88.5,87,87,90
2026-05-15,90.0,80,85,95
2026-05-16,89.0,97,88,90
2026-05-17,88.5,87,87,90
2026-05-18,89.0,75,88,90
2026-05-19,89.0,57,87,91
2026-05-20,97.0,82,79,115
2026-05-21,95.0,97,60,130
2026-05-22,150.0,80,50,250
2026-05-23,97.5,120,75,120
2026-05-24,90.0,103,85,95
2026-05-25,89.0,54,88,90
2026-05-26,89.0,48,88,90
2026-05-27,89.0,52,88,90
2026-05-28,89.5,42,89,90
2026-05-29,89.5,66,89,90
2026-05-30,97.5,93,75,120
2026-05-31,89.0,80,88,90
2026-06-01,90.0,96,80,100
2026-06-02,89.0,63,88,90
2026-06-03,90.0,80,85,95
2026-06-04,92.0,104,74,110
2026-06-05,90.0,89,80,100
