datetime,avg_price,volume,min_price,max_price
2026-03-12,95.0,95,70,120
2026-03-13,95.0,105,70,120
2026-03-14,78.0,56,76,80
2026-03-15,80.0,83,70,90
2026-03-16,79.0,44,78,80
2026-03-17,80.0,84,70,90
2026-03-18,82.0,98,74,90
2026-03-19,79.0,41,78,80
2026-03-20,85.0,88,70,100
2026-03-21,78.0,41,66,90
2026-03-22,85.0,38,71,99
2026-03-23,90.0,40,80,100
2026-03-24,87.0,37,75,99
2026-03-25,80.0,43,70,90
2026-03-26,79.0,60,78,80
2026-03-27,78.5,68,77,80
2026-03-28,78.5,59,77,80
2026-03-29,77.5,93,75,80
2026-03-30,78.5,44,77,80
2026-03-31,78.5,69,77,80
2026-04-01,78.5,81,74,83
2026-04-02,78.5,57,77,80
2026-04-03,78.5,68,77,80
2026-04-04,78.5,84,77,80
2026-04-05,79.0,96,78,80
2026-04-06,79.0,76,78,80
2026-04-07,92.5,83,65,120
2026-04-08,79.0,64,78,80
2026-04-09,73.5,109,57,90
2026-04-10,79.0,91,78,80
2026-04-11,78.5,108,77,80
2026-04-12,80.0,109,78,82
2026-04-13,79.5,70,78,81
2026-04-14,82.5,109,65,100
2026-04-15,75.0,94,60,90
2026-04-16,80.0,116,70,90
2026-04-17,80.0,90,75,85
2026-04-18,92.5,132,65,120
2026-04-19,80.0,75,78,82
2026-04-20,80.0,103,60,100
2026-04-21,79.0,52,78,80
2026-04-22,80.0,68,75,85
2026-04-23,80.0,91,70,90
2026-04-24,82.5,101,75,90
2026-04-25,87.0,277,75,99
2026-04-26,87.5,206,80,95
2026-04-27,90.0,85,82,98
2026-04-28,91.5,117,85,98
2026-04-29,90.0,97,85,95
2026-04-30,89.0,65,88,90
2026-05-01,88.5,83,87,90
2026-05-02,86.5,106,83,90
2026-05-03,88.5,85,87,90
2026-05-04,90.0,78,88,92
2026-05-05,89.0,78,88,90
2026-05-06,88.5,60,87,90
2026-05-07,88.5,80,87,90
2026-05-08,89.0,74,88,90
2026-05-09,88.5,75,87,90
2026-05-10,88.5,89,87,90
2026-05-11,89.0,64,87,91
2026-05-12,88.5,108,87,90
2026-05-13,86.5,94,83,90
2026-05-14,88.5,78,87,90
2026-05-15,88.5,61,87,90
2026-05-16,88.5,72,87,90
2026-05-17,88.5,97,87,90
2026-05-18,88.5,70,87,90
2026-05-19,88.5,91,87,90
2026-05-20,88.5,75,87,90
2026-05-21,88.5,68,87,90
2026-05-22,88.5,81,87,90
2026-05-23,89.0,102,87,91
2026-05-24,88.5,101,87,90
2026-05-25,89.0,64,88,90
2026-05-26,87.5,71,85,90
2026-05-27,88.5,57,87,90
2026-05-28,88.5,85,87,90
2026-05-29,88.5,78,87,90
2026-05-30,84.5,101,79,90
2026-05-31,87.5,110,80,95
2026-06-01,88.5,92,84,93
2026-06-02,87.0,71,84,90
2026-06-03,89.0,84,88,90
2026-06-04,88.5,85,87,90
2026-06-05,87.0,82,84,90
2026-06-06,87.0,105,84,90
2026-06-07,86.5,119,83,90
2026-06-08,86.5,74,83,90
