datetime,avg_price,volume,min_price,max_price
2026-03-06,70.0,120,65,75
2026-03-07,70.0,132,60,80
2026-03-08,69.0,74,68,70
2026-03-09,71.5,79,65,78
2026-03-10,70.0,87,65,75
2026-03-11,70.0,82,68,72
2026-03-12,70.0,73,68,72
2026-03-13,70.0,47,68,72
2026-03-14,70.0,75,68,72
2026-03-15,70.0,92,68,72
2026-03-16,70.0,74,65,75
2026-03-17,90.5,66,61,120
2026-03-18,70.0,72,60,80
2026-03-19,69.5,58,68,71
2026-03-20,68.5,133,67,70
2026-03-21,70.0,83,65,75
2026-03-22,69.5,110,64,75
2026-03-23,70.0,87,60,80
2026-03-24,67.5,70,60,75
2026-03-25,62.0,101,50,74
2026-03-26,60.0,130,56,64
2026-03-27,60.0,139,55,65
2026-03-28,60.0,183,55,65
2026-03-29,59.0,155,57,61
2026-03-30,59.0,132,54,64
2026-03-31,59.0,122,58,60
2026-04-01,59.0,126,57,61
2026-04-02,56.5,161,53,60
2026-04-03,58.5,138,57,60
2026-04-04,58.5,122,57,60
2026-04-05,58.5,171,57,60
2026-04-06,59.0,134,57,61
2026-04-07,58.5,111,57,60
2026-04-08,58.5,125,57,60
2026-04-09,58.5,153,57,60
2026-04-10,58.0,179,53,63
2026-04-11,58.5,149,57,60
2026-04-12,57.0,195,53,61
2026-04-13,54.0,212,45,63
2026-04-14,58.5,118,57,60
2026-04-15,58.5,143,57,60
2026-04-16,59.0,143,57,61
2026-04-17,58.5,138,57,60
2026-04-18,58.5,148,57,60
2026-04-19,58.5,120,57,60
2026-04-20,58.5,124,57,60
2026-04-21,59.5,102,58,61
2026-04-22,59.5,107,58,61
2026-04-23,60.0,129,58,62
2026-04-24,59.0,121,58,60
2026-04-25,70.0,180,50,90
2026-04-26,92.5,192,45,140
2026-04-27,72.5,161,45,100
2026-04-28,60.0,104,59,61
2026-04-29,60.0,87,58,62
2026-04-30,60.0,99,58,62
2026-05-01,60.5,125,59,62
2026-05-02,60.0,134,55,65
2026-05-03,60.0,173,55,65
2026-05-04,61.5,121,58,65
2026-05-05,64.0,112,59,69
2026-05-06,65.0,120,63,67
2026-05-07,64.0,147,62,66
2026-05-08,64.0,128,62,66
2026-05-09,65.0,117,63,67
2026-05-10,65.0,99,63,67
2026-05-11,64.0,132,58,70
2026-05-12,62.5,138,55,70
2026-05-13,66.5,132,63,70
2026-05-14,65.0,123,55,75
2026-05-15,66.5,111,63,70
2026-05-16,66.5,170,63,70
2026-05-17,68.5,124,67,70
2026-05-18,68.5,97,67,70
2026-05-19,68.5,77,67,70
2026-05-20,67.0,119,64,70
2026-05-21,68.5,84,67,70
2026-05-22,67.0,87,64,70
2026-05-23,66.5,110,63,70
2026-05-24,68.5,121,67,70
2026-05-25,68.5,73,67,70
2026-05-26,67.0,95,64,70
2026-05-27,68.5,82,67,70
2026-05-28,68.5,80,67,70
2026-05-29,68.5,127,67,70
2026-05-30,67.0,128,64,70
2026-05-31,67.0,119,64,70
2026-06-01,68.5,136,67,70
2026-06-02,68.5,109,67,70
