datetime,avg_price,volume,min_price,max_price
2026-04-22,79.0,47,78.0,80.0
2026-04-23,72.5,84,60.0,85.0
2026-04-24,78.5,43,77.0,80.0
2026-04-25,79.0,54,78.0,80.0
2026-04-26,78.5,51,77.0,80.0
2026-04-27,79.0,35,78.0,80.0
2026-04-28,79.0,52,78.0,80.0
2026-04-29,78.5,42,77.0,80.0
2026-04-30,79.5,43,79.0,80.0
2026-05-01,78.5,53,77.0,80.0
2026-05-02,78.5,42,77.0,80.0
2026-05-03,78.5,48,77.0,80.0
2026-05-04,79.0,48,78.0,80.0
2026-05-05,81.0,77,67.0,95.0
2026-05-06,95.0,97,60.0,130.0
2026-05-07,72.5,61,60.0,85.0
2026-05-08,80.0,67,78.0,82.0
2026-05-09,79.0,51,78.0,80.0
2026-05-10,79.0,75,78.0,80.0
2026-05-11,79.0,77,78.0,80.0
2026-05-12,79.5,74,79.0,80.0
2026-05-13,79.0,40,78.0,80.0
2026-05-14,78.5,56,77.0,80.0
2026-05-15,79.0,58,78.0,80.0
2026-05-16,92.5,79,55.0,130.0
2026-05-17,79.0,69,78.0,80.0
2026-05-18,92.5,70,55.0,130.0
2026-05-19,103.5,60,67.0,140.0
2026-05-20,80.0,75,70.0,90.0
2026-05-21,95.0,63,55.0,135.0
2026-05-22,80.0,48,78.0,82.0
2026-05-23,79.5,50,79.0,80.0
2026-05-24,80.0,66,70.0,90.0
2026-05-25,77.5,64,66.0,89.0
2026-05-26,79.0,56,78.0,80.0
2026-05-27,80.0,52,78.0,82.0
2026-05-28,79.0,34,78.0,80.0
2026-05-29,79.5,48,79.0,80.0
2026-05-30,105.0,76,60.0,150.0
2026-05-31,80.0,56,78.0,82.0
2026-06-01,77.5,75,65.0,90.0
2026-06-02,81.0,36,78.0,84.0
2026-06-03,80.0,56,75.0,85.0
2026-06-04,80.0,48,78.0,82.0
2026-06-05,80.5,46,77.0,84.0
2026-06-06,82.0,59,79.0,85.0
2026-06-07,79.0,70,73.0,85.0
2026-06-08,82.5,58,75.0,90.0
2026-06-09,80.0,37,75.0,85.0
2026-06-10,80.0,48,75.0,85.0
2026-06-11,80.5,42,79.0,82.0
2026-06-12,79.0,22,78.0,80.0
2026-06-13,80.0,63,75.0,85.0
2026-06-14,79.5,36,79.0,80.0
2026-06-15,79.5,26,79.0,80.0
2026-06-16,80.0,37,70.0,90.0
2026-06-17,80.0,54,70.0,90.0
2026-06-18,80.5,31,79.0,82.0
2026-06-19,80.0,48,75.0,85.0
2026-06-20,80.0,81,70.0,90.0
2026-06-21,79.0,47,78.0,80.0
2026-06-22,80.5,40,79.0,82.0
2026-06-23,77.0,62,69.0,85.0
2026-06-24,80.0,60,70.0,90.0
2026-06-25,80.0,42,78.0,82.0
2026-06-26,80.0,40,78.0,82.0
2026-06-27,80.0,43,78.0,82.0
2026-06-28,80.0,63,75.0,85.0
2026-06-29,80.5,49,79.0,82.0
2026-06-30,80.0,35,78.0,82.0
2026-07-01,79.5,47,74.0,85.0
2026-07-02,80.0,28,78.0,82.0
2026-07-03,80.0,35,78.0,82.0
2026-07-04,80.0,65,75.0,85.0
2026-07-05,80.0,45,79.0,81.0
2026-07-06,80.5,50,79.0,82.0
2026-07-07,89.5,40,79.0,100.0
2026-07-08,80.0,39,75.0,85.0
2026-07-09,80.0,31,78.0,82.0
2026-07-10,80.0,35,78.0,82.0
2026-07-11,81.0,48,78.0,84.0
2026-07-12,75.0,65,60.0,90.0
2026-07-13,80.0,53,78.0,82.0
2026-07-14,79.5,79,74.0,85.0
2026-07-15,81.0,63,77.0,85.0
2026-07-16,80.0,37,75.0,85.0
2026-07-17,79.0,69,70.0,88.0
2026-07-18,80.0,67,75.0,85.0
2026-07-19,79.5,31,79.0,80.0
