datetime,avg_price,volume,min_price,max_price
2026-03-15,62.5,168,55.0,70.0
2026-03-16,68.5,89,67.0,70.0
2026-03-17,68.5,105,67.0,70.0
2026-03-18,69.0,90,68.0,70.0
2026-03-19,66.5,134,63.0,70.0
2026-03-20,66.5,136,63.0,70.0
2026-03-21,69.0,49,68.0,70.0
2026-03-22,70.0,47,69.0,71.0
2026-03-23,72.5,71,65.0,80.0
2026-03-24,73.0,65,61.0,85.0
2026-03-25,69.5,106,59.0,80.0
2026-03-26,62.5,205,55.0,70.0
2026-03-27,61.0,156,52.0,70.0
2026-03-28,65.0,187,55.0,75.0
2026-03-29,60.0,202,50.0,70.0
2026-03-30,59.5,191,49.0,70.0
2026-03-31,60.0,158,52.0,68.0
2026-04-01,62.5,188,55.0,70.0
2026-04-02,60.5,176,53.0,68.0
2026-04-03,60.0,210,50.0,70.0
2026-04-04,60.0,220,50.0,70.0
2026-04-05,60.0,230,50.0,70.0
2026-04-06,62.5,208,55.0,70.0
2026-04-07,60.0,223,50.0,70.0
2026-04-08,60.5,169,53.0,68.0
2026-04-09,60.0,215,50.0,70.0
2026-04-10,60.0,213,50.0,70.0
2026-04-11,58.0,261,46.0,70.0
2026-04-12,60.0,293,50.0,70.0
2026-04-13,64.0,190,59.0,69.0
2026-04-14,62.5,198,55.0,70.0
2026-04-15,64.0,196,58.0,70.0
2026-04-16,64.5,183,54.0,75.0
2026-04-17,61.5,211,49.0,74.0
2026-04-18,64.0,252,58.0,70.0
2026-04-19,62.5,229,55.0,70.0
2026-04-20,65.0,142,60.0,70.0
2026-04-21,64.0,183,58.0,70.0
2026-04-22,65.0,167,60.0,70.0
2026-04-23,65.0,133,60.0,70.0
2026-04-24,64.5,146,54.0,75.0
2026-04-25,62.5,207,55.0,70.0
2026-04-26,62.5,200,55.0,70.0
2026-04-27,65.0,145,60.0,70.0
2026-04-28,65.5,146,62.0,69.0
2026-04-29,63.5,148,57.0,70.0
2026-04-30,64.0,157,59.0,69.0
2026-05-01,64.5,177,59.0,70.0
2026-05-02,65.0,128,63.0,67.0
2026-05-03,64.5,141,61.0,68.0
2026-05-04,64.5,146,59.0,70.0
2026-05-05,66.5,141,63.0,70.0
2026-05-06,66.0,135,62.0,70.0
2026-05-07,66.5,144,63.0,70.0
2026-05-08,68.5,144,67.0,70.0
2026-05-09,68.5,151,67.0,70.0
2026-05-10,66.0,140,62.0,70.0
2026-05-11,64.5,212,59.0,70.0
2026-05-12,65.0,135,55.0,75.0
2026-05-13,68.5,115,67.0,70.0
2026-05-14,67.0,145,64.0,70.0
2026-05-15,64.5,147,59.0,70.0
2026-05-16,67.5,184,60.0,75.0
2026-05-17,66.5,165,63.0,70.0
2026-05-18,68.5,136,67.0,70.0
2026-05-19,68.5,102,67.0,70.0
2026-05-20,66.5,133,63.0,70.0
2026-05-21,68.5,89,67.0,70.0
2026-05-22,68.5,134,67.0,70.0
2026-05-23,68.5,82,67.0,70.0
2026-05-24,68.5,148,67.0,70.0
2026-05-25,68.5,124,67.0,70.0
2026-05-26,68.5,95,67.0,70.0
2026-05-27,68.5,123,67.0,70.0
2026-05-28,68.5,111,67.0,70.0
2026-05-29,68.5,111,67.0,70.0
2026-05-30,68.5,151,67.0,70.0
2026-05-31,68.5,140,67.0,70.0
2026-06-01,69.0,104,68.0,70.0
2026-06-02,69.5,87,69.0,70.0
2026-06-03,68.5,139,67.0,70.0
2026-06-04,68.5,126,67.0,70.0
2026-06-05,68.5,129,67.0,70.0
2026-06-06,68.5,118,67.0,70.0
2026-06-07,66.5,155,63.0,70.0
2026-06-08,68.5,122,67.0,70.0
2026-06-09,68.5,114,67.0,70.0
2026-06-10,68.5,108,67.0,70.0
2026-06-11,68.5,100,67.0,70.0
