datetime,avg_price,volume,min_price,max_price
2026-05-09,79.0,58,78.0,80.0
2026-05-10,79.0,60,77.0,81.0
2026-05-11,78.5,48,77.0,80.0
2026-05-12,78.5,45,77.0,80.0
2026-05-13,77.5,46,70.0,85.0
2026-05-14,74.0,97,60.0,88.0
2026-05-15,67.0,240,59.0,75.0
2026-05-16,65.0,242,55.0,75.0
2026-05-17,59.5,255,49.0,70.0
2026-05-18,60.0,135,58.0,62.0
2026-05-19,60.0,132,58.0,62.0
2026-05-20,60.0,129,58.0,62.0
2026-05-21,60.0,140,58.0,62.0
2026-05-22,58.5,126,57.0,60.0
2026-05-23,58.5,120,57.0,60.0
2026-05-24,58.5,148,57.0,60.0
2026-05-25,56.5,150,53.0,60.0
2026-05-26,55.0,164,50.0,60.0
2026-05-27,55.0,155,50.0,60.0
2026-05-28,56.0,144,52.0,60.0
2026-05-29,57.0,212,52.0,62.0
2026-05-30,57.5,206,53.0,62.0
2026-05-31,58.5,150,57.0,60.0
2026-06-01,58.5,92,57.0,60.0
2026-06-02,56.5,103,53.0,60.0
2026-06-03,56.0,156,52.0,60.0
2026-06-04,56.5,135,53.0,60.0
2026-06-05,55.0,156,50.0,60.0
2026-06-06,56.5,169,53.0,60.0
2026-06-07,55.0,219,50.0,60.0
2026-06-08,55.0,153,45.0,65.0
2026-06-09,58.5,139,57.0,60.0
2026-06-10,56.5,181,53.0,60.0
2026-06-11,58.5,112,57.0,60.0
2026-06-12,55.5,138,51.0,60.0
2026-06-13,54.0,148,48.0,60.0
2026-06-14,55.5,122,51.0,60.0
2026-06-15,55.0,69,53.0,57.0
2026-06-16,53.5,120,47.0,60.0
2026-06-17,55.0,102,50.0,60.0
2026-06-18,52.5,109,45.0,60.0
2026-06-19,54.5,112,45.0,64.0
2026-06-20,52.5,148,45.0,60.0
2026-06-21,52.5,129,45.0,60.0
2026-06-22,52.5,108,45.0,60.0
2026-06-23,52.5,125,45.0,60.0
2026-06-24,54.5,150,46.0,63.0
2026-06-25,55.0,110,50.0,60.0
2026-06-26,56.0,119,43.0,69.0
2026-06-27,50.0,107,45.0,55.0
2026-06-28,52.5,131,45.0,60.0
2026-06-29,53.5,106,47.0,60.0
2026-06-30,55.0,87,50.0,60.0
2026-07-01,58.0,98,47.0,69.0
2026-07-02,53.0,79,46.0,60.0
2026-07-03,53.5,85,47.0,60.0
2026-07-04,58.5,54,57.0,60.0
2026-07-05,52.5,104,45.0,60.0
2026-07-06,58.5,66,57.0,60.0
2026-07-07,52.5,93,45.0,60.0
2026-07-08,58.5,55,57.0,60.0
2026-07-09,58.5,64,57.0,60.0
2026-07-10,57.0,83,54.0,60.0
2026-07-11,52.5,137,45.0,60.0
2026-07-12,54.5,127,49.0,60.0
2026-07-13,57.0,115,54.0,60.0
2026-07-14,58.0,98,53.0,63.0
2026-07-15,57.5,82,55.0,60.0
2026-07-16,56.5,77,53.0,60.0
2026-07-17,58.5,63,57.0,60.0
2026-07-18,58.5,77,57.0,60.0
2026-07-19,58.5,87,57.0,60.0
2026-07-20,58.5,54,57.0,60.0
2026-07-21,60.0,79,58.0,62.0
2026-07-22,58.5,63,57.0,60.0
2026-07-23,58.5,76,57.0,60.0
2026-07-24,59.0,55,58.0,60.0
2026-07-25,58.5,75,57.0,60.0
2026-07-26,58.5,76,57.0,60.0
2026-07-27,59.0,53,58.0,60.0
2026-07-28,58.5,69,57.0,60.0
2026-07-29,59.0,64,58.0,60.0
2026-07-30,58.5,66,57.0,60.0
2026-07-31,61.0,78,42.0,80.0
2026-08-01,70.0,113,40.0,100.0
2026-08-02,58.5,70,57.0,60.0
2026-08-03,59.0,56,58.0,60.0
2026-08-04,59.5,48,59.0,60.0
2026-08-05,59.0,55,58.0,60.0
