datetime,avg_price,volume,min_price,max_price
2026-05-10,86.5,183,83.0,90.0
2026-05-11,86.5,170,83.0,90.0
2026-05-12,86.5,188,83.0,90.0
2026-05-13,88.0,148,86.0,90.0
2026-05-14,87.0,144,84.0,90.0
2026-05-15,86.5,186,83.0,90.0
2026-05-16,83.5,226,77.0,90.0
2026-05-17,86.0,222,82.0,90.0
2026-05-18,86.5,163,83.0,90.0
2026-05-19,86.0,146,82.0,90.0
2026-05-20,86.5,205,83.0,90.0
2026-05-21,88.0,130,86.0,90.0
2026-05-22,88.5,149,87.0,90.0
2026-05-23,87.0,202,84.0,90.0
2026-05-24,88.5,164,87.0,90.0
2026-05-25,86.5,165,83.0,90.0
2026-05-26,87.0,149,84.0,90.0
2026-05-27,87.0,172,84.0,90.0
2026-05-28,88.0,143,86.0,90.0
2026-05-29,87.0,174,83.0,91.0
2026-05-30,87.0,195,84.0,90.0
2026-05-31,86.5,245,83.0,90.0
2026-06-01,87.5,172,85.0,90.0
2026-06-02,88.5,147,87.0,90.0
2026-06-03,88.5,124,87.0,90.0
2026-06-04,86.5,182,83.0,90.0
2026-06-05,87.0,161,84.0,90.0
2026-06-06,86.0,190,82.0,90.0
2026-06-07,85.5,203,81.0,90.0
2026-06-08,88.0,104,86.0,90.0
2026-06-09,88.0,134,86.0,90.0
2026-06-10,88.5,169,87.0,90.0
2026-06-11,86.5,170,83.0,90.0
2026-06-12,88.5,141,87.0,90.0
2026-06-13,88.5,170,87.0,90.0
2026-06-14,87.0,183,84.0,90.0
2026-06-15,86.5,150,83.0,90.0
2026-06-16,86.0,184,82.0,90.0
2026-06-17,85.0,149,80.0,90.0
2026-06-18,85.5,165,80.0,91.0
2026-06-19,84.0,163,78.0,90.0
2026-06-20,84.0,236,78.0,90.0
2026-06-21,85.0,241,80.0,90.0
2026-06-22,85.0,105,83.0,87.0
2026-06-23,86.0,164,82.0,90.0
2026-06-24,85.0,149,77.0,93.0
2026-06-25,83.5,161,77.0,90.0
2026-06-26,72.0,204,65.0,79.0
2026-06-27,72.5,203,65.0,80.0
2026-06-28,73.5,115,72.0,75.0
2026-06-29,75.0,165,65.0,85.0
2026-06-30,75.5,102,74.0,77.0
2026-07-01,73.5,160,67.0,80.0
2026-07-02,77.5,184,73.0,82.0
2026-07-03,74.0,170,68.0,80.0
2026-07-04,74.0,164,68.0,80.0
2026-07-05,73.5,211,67.0,80.0
2026-07-06,75.5,149,69.0,82.0
2026-07-07,74.5,146,65.0,84.0
2026-07-08,75.0,165,70.0,80.0
2026-07-09,74.0,193,65.0,83.0
2026-07-10,70.0,267,62.0,78.0
2026-07-11,69.0,268,64.0,74.0
2026-07-12,66.0,303,62.0,70.0
2026-07-13,68.5,173,67.0,70.0
2026-07-14,69.0,176,67.0,71.0
2026-07-15,67.0,232,64.0,70.0
2026-07-16,65.0,246,60.0,70.0
2026-07-17,64.5,271,54.0,75.0
2026-07-18,65.0,190,63.0,67.0
2026-07-19,65.0,192,63.0,67.0
2026-07-20,65.0,156,63.0,67.0
2026-07-21,65.0,173,63.0,67.0
2026-07-22,65.0,223,60.0,70.0
2026-07-23,64.0,176,62.0,66.0
2026-07-24,64.0,128,62.0,66.0
2026-07-25,64.0,189,62.0,66.0
2026-07-26,64.0,205,62.0,66.0
2026-07-27,64.0,203,58.0,70.0
2026-07-28,64.0,135,62.0,66.0
2026-07-29,64.0,114,62.0,66.0
2026-07-30,63.0,225,58.0,68.0
2026-07-31,61.0,197,55.0,67.0
2026-08-01,63.0,218,58.0,68.0
2026-08-02,64.5,324,54.0,75.0
2026-08-03,65.0,242,60.0,70.0
2026-08-04,65.0,249,60.0,70.0
2026-08-05,62.5,291,55.0,70.0
2026-08-06,63.5,289,57.0,70.0
