datetime,avg_price,volume,min_price,max_price
2026-03-09,70.0,39,65,75
2026-03-10,70.0,44,65,75
2026-03-11,71.0,32,68,74
2026-03-12,71.0,43,67,75
2026-03-13,70.0,33,68,72
2026-03-14,72.5,53,65,80
2026-03-15,68.0,65,56,80
2026-03-16,68.5,53,58,79
2026-03-17,71.5,31,68,75
2026-03-18,68.5,60,57,80
2026-03-19,69.5,63,59,80
2026-03-20,66.0,109,59,73
2026-03-21,65.5,70,55,76
2026-03-22,63.0,80,51,75
2026-03-23,67.0,66,55,79
2026-03-24,60.0,81,50,70
2026-03-25,47.5,75,39,56
2026-03-26,48.0,156,36,60
2026-03-27,51.0,123,45,57
2026-03-28,49.0,86,47,51
2026-03-29,49.5,167,39,60
2026-03-30,47.5,106,43,52
2026-03-31,48.5,93,47,50
2026-04-01,42.0,159,34,50
2026-04-02,40.5,116,36,45
2026-04-03,44.0,111,42,46
2026-04-04,43.0,150,34,52
2026-04-05,40.0,179,30,50
2026-04-06,43.5,124,37,50
2026-04-07,42.5,141,35,50
2026-04-08,40.0,96,38,42
2026-04-09,42.0,158,34,50
2026-04-10,40.0,168,30,50
2026-04-11,40.0,162,30,50
2026-04-12,40.0,137,35,45
2026-04-13,40.0,146,35,45
2026-04-14,40.0,140,35,45
2026-04-15,45.0,158,35,55
2026-04-16,42.5,144,35,50
2026-04-17,45.0,112,35,55
2026-04-18,40.0,114,35,45
2026-04-19,40.0,70,38,42
2026-04-20,40.0,63,36,44
2026-04-21,40.0,77,35,45
2026-04-22,26.0,111,1,51
2026-04-23,39.5,57,38,41
2026-04-24,40.0,53,38,42
2026-04-25,38.5,95,32,45
2026-04-26,39.0,115,33,45
2026-04-27,40.0,64,38,42
2026-04-28,40.0,83,35,45
2026-04-29,40.0,90,35,45
2026-04-30,40.0,55,38,42
2026-05-01,40.0,72,35,45
2026-05-02,40.0,84,35,45
2026-05-03,40.0,53,38,42
2026-05-04,38.5,73,32,45
2026-05-05,43.5,43,42,45
2026-05-06,45.0,64,40,50
2026-05-07,44.0,73,39,49
2026-05-08,42.5,83,35,50
2026-05-09,44.0,86,39,49
2026-05-10,44.5,85,39,50
2026-05-11,44.0,34,43,45
2026-05-12,42.5,49,35,50
2026-05-13,45.0,64,40,50
2026-05-14,44.0,70,38,50
2026-05-15,45.0,83,40,50
2026-05-16,43.5,83,35,52
2026-05-17,45.0,80,40,50
2026-05-18,45.0,65,40,50
2026-05-19,45.0,56,35,55
2026-05-20,42.5,63,35,50
2026-05-21,46.5,67,43,50
2026-05-22,44.5,55,39,50
2026-05-23,46.0,73,42,50
2026-05-24,46.5,66,43,50
2026-05-25,47.0,61,44,50
2026-05-26,47.0,53,44,50
2026-05-27,43.5,60,37,50
2026-05-28,45.0,56,40,50
2026-05-29,45.0,51,40,50
2026-05-30,46.5,106,43,50
2026-05-31,47.0,66,44,50
2026-06-01,48.5,89,47,50
2026-06-02,50.0,49,48,52
2026-06-03,49.0,34,48,50
2026-06-04,47.5,34,45,50
2026-06-05,49.0,46,48,50
