datetime,avg_price,volume,min_price,max_price
2026-03-07,69.0,102,68,70
2026-03-08,68.5,98,67,70
2026-03-09,69.0,94,68,70
2026-03-10,69.0,58,68,70
2026-03-11,68.5,83,67,70
2026-03-12,69.0,83,68,70
2026-03-13,67.5,98,60,75
2026-03-14,68.5,88,67,70
2026-03-15,69.0,93,68,70
2026-03-16,68.5,87,67,70
2026-03-17,70.0,84,68,72
2026-03-18,69.0,74,68,70
2026-03-19,69.0,67,68,70
2026-03-20,69.0,76,68,70
2026-03-21,69.5,48,69,70
2026-03-22,75.0,77,65,85
2026-03-23,77.0,60,69,85
2026-03-24,75.0,57,65,85
2026-03-25,72.0,67,60,84
2026-03-26,69.0,93,68,70
2026-03-27,69.0,97,68,70
2026-03-28,70.0,115,68,72
2026-03-29,80.0,156,60,100
2026-03-30,69.0,69,68,70
2026-03-31,69.0,84,68,70
2026-04-01,69.0,110,68,70
2026-04-02,69.0,99,68,70
2026-04-03,69.5,118,68,71
2026-04-04,90.0,128,50,130
2026-04-05,70.0,88,68,72
2026-04-06,88.0,141,56,120
2026-04-07,70.0,124,65,75
2026-04-08,70.0,77,68,72
2026-04-09,70.0,159,65,75
2026-04-10,69.5,228,59,80
2026-04-11,71.0,173,65,77
2026-04-12,70.0,124,66,74
2026-04-13,72.5,169,65,80
2026-04-14,72.5,219,65,80
2026-04-15,72.5,113,67,78
2026-04-16,72.5,140,65,80
2026-04-17,75.0,132,65,85
2026-04-18,73.5,123,72,75
2026-04-19,74.0,110,72,76
2026-04-20,74.0,97,73,75
2026-04-21,73.5,95,72,75
2026-04-22,75.0,92,73,77
2026-04-23,74.0,80,72,76
2026-04-24,73.5,127,72,75
2026-04-25,74.0,103,73,75
2026-04-26,74.0,133,69,79
2026-04-27,74.5,92,73,76
2026-04-28,73.5,71,72,75
2026-04-29,73.5,89,72,75
2026-04-30,74.5,72,74,75
2026-05-01,73.5,109,72,75
2026-05-02,73.5,114,70,77
2026-05-03,74.0,66,73,75
2026-05-04,75.0,124,70,80
2026-05-05,73.5,87,72,75
2026-05-06,74.5,79,74,75
2026-05-07,73.5,97,72,75
2026-05-08,74.0,93,72,76
2026-05-09,74.5,102,73,76
2026-05-10,71.5,141,68,75
2026-05-11,73.5,77,72,75
2026-05-12,74.0,89,73,75
2026-05-13,73.5,73,72,75
2026-05-14,73.5,74,72,75
2026-05-15,74.0,96,72,76
2026-05-16,73.5,131,72,75
2026-05-17,74.5,102,73,76
2026-05-18,74.5,81,74,75
2026-05-19,73.5,77,72,75
2026-05-20,73.5,97,72,75
2026-05-21,73.5,98,72,75
2026-05-22,74.0,65,72,76
2026-05-23,74.0,106,72,76
2026-05-24,74.0,125,72,76
2026-05-25,73.5,76,72,75
2026-05-26,73.5,101,72,75
2026-05-27,74.0,79,73,75
2026-05-28,74.0,121,72,76
2026-05-29,73.5,91,72,75
2026-05-30,75.0,91,73,77
2026-05-31,73.5,86,72,75
2026-06-01,74.5,65,73,76
2026-06-02,73.5,88,72,75
2026-06-03,75.0,71,71,79
