datetime,avg_price,volume,min_price,max_price
2026-02-16,48.5,107,47,50
2026-02-17,49.0,176,47,51
2026-02-18,57.5,243,40,75
2026-02-19,50.0,170,48,52
2026-02-20,50.0,121,48,52
2026-02-21,69.0,261,38,100
2026-02-22,50.0,151,48,52
2026-02-23,69.0,216,38,100
2026-02-24,49.5,103,48,51
2026-02-25,50.0,143,48,52
2026-02-26,52.5,213,45,60
2026-02-27,52.5,211,45,60
2026-02-28,57.5,216,50,65
2026-03-01,50.5,230,41,60
2026-03-02,59.0,100,58,60
2026-03-03,58.5,95,57,60
2026-03-04,58.5,92,57,60
2026-03-05,58.5,128,57,60
2026-03-06,57.0,105,54,60
2026-03-07,58.5,129,57,60
2026-03-08,57.0,172,54,60
2026-03-09,59.0,118,58,60
2026-03-10,59.0,105,57,61
2026-03-11,58.5,116,57,60
2026-03-12,58.5,140,57,60
2026-03-13,58.5,121,57,60
2026-03-14,58.5,132,57,60
2026-03-15,56.5,195,53,60
2026-03-16,58.5,120,57,60
2026-03-17,59.0,128,58,60
2026-03-18,59.0,116,58,60
2026-03-19,59.0,107,58,60
2026-03-20,58.5,134,57,60
2026-03-21,75.0,79,50,100
2026-03-22,59.0,64,58,60
2026-03-23,60.0,84,50,70
2026-03-24,62.5,90,55,70
2026-03-25,59.0,131,48,70
2026-03-26,58.0,230,50,66
2026-03-27,57.5,120,50,65
2026-03-28,53.0,180,41,65
2026-03-29,53.5,178,42,65
2026-03-30,56.5,165,48,65
2026-03-31,53.5,183,45,62
2026-04-01,56.5,161,53,60
2026-04-02,56.5,139,53,60
2026-04-03,55.0,138,45,65
2026-04-04,54.5,175,49,60
2026-04-05,56.0,186,52,60
2026-04-06,56.5,186,53,60
2026-04-07,58.5,116,57,60
2026-04-08,58.5,130,57,60
2026-04-09,58.5,150,57,60
2026-04-10,58.5,154,57,60
2026-04-11,58.5,121,57,60
2026-04-12,60.0,172,58,62
2026-04-13,59.0,153,58,60
2026-04-14,59.0,149,58,60
2026-04-15,58.5,119,57,60
2026-04-16,72.5,175,45,100
2026-04-17,58.5,104,57,60
2026-04-18,58.5,199,57,60
2026-04-19,59.0,144,57,61
2026-04-20,72.5,186,45,100
2026-04-21,61.0,186,47,75
2026-04-22,59.0,154,58,60
2026-04-23,75.0,175,50,100
2026-04-24,57.5,237,40,75
2026-04-25,57.5,216,35,80
2026-04-26,75.0,270,40,110
2026-04-27,58.5,185,43,74
2026-04-28,68.0,265,46,90
2026-04-29,94.5,166,40,149
2026-04-30,70.5,160,41,100
2026-05-01,59.0,169,58,60
2026-05-02,59.0,155,58,60
2026-05-03,82.5,219,45,120
2026-05-04,59.5,98,59,60
2026-05-05,94.0,164,48,140
2026-05-06,92.5,183,45,140
2026-05-07,73.0,168,46,100
2026-05-08,60.5,111,57,64
2026-05-09,82.0,179,50,114
2026-05-10,65.0,187,55,75
2026-05-11,62.5,163,55,70
2026-05-12,62.5,156,55,70
2026-05-13,62.5,141,59,66
2026-05-14,64.0,122,63,65
2026-05-15,62.5,186,55,70
