datetime,avg_price,volume,min_price,max_price
2026-03-31,60.0,249,52.0,68.0
2026-04-01,60.0,147,58.0,62.0
2026-04-02,60.0,172,58.0,62.0
2026-04-03,60.0,169,58.0,62.0
2026-04-04,60.0,284,52.0,68.0
2026-04-05,62.0,292,54.0,70.0
2026-04-06,64.0,261,58.0,70.0
2026-04-07,64.0,160,62.0,66.0
2026-04-08,63.0,252,58.0,68.0
2026-04-09,62.5,309,55.0,70.0
2026-04-10,64.0,267,59.0,69.0
2026-04-11,63.0,291,56.0,70.0
2026-04-12,64.0,311,59.0,69.0
2026-04-13,65.0,236,60.0,70.0
2026-04-14,65.0,237,60.0,70.0
2026-04-15,65.0,249,55.0,75.0
2026-04-16,63.5,261,57.0,70.0
2026-04-17,65.0,239,60.0,70.0
2026-04-18,65.0,323,60.0,70.0
2026-04-19,63.5,281,57.0,70.0
2026-04-20,64.0,233,58.0,70.0
2026-04-21,66.0,246,62.0,70.0
2026-04-22,66.5,217,63.0,70.0
2026-04-23,66.5,241,59.0,74.0
2026-04-24,67.0,251,64.0,70.0
2026-04-25,68.5,243,67.0,70.0
2026-04-26,68.5,219,67.0,70.0
2026-04-27,68.5,243,67.0,70.0
2026-04-28,68.5,229,67.0,70.0
2026-04-29,68.5,192,67.0,70.0
2026-04-30,69.0,205,68.0,70.0
2026-05-01,68.5,192,67.0,70.0
2026-05-02,68.5,200,67.0,70.0
2026-05-03,68.5,200,67.0,70.0
2026-05-04,68.5,136,67.0,70.0
2026-05-05,88.5,256,50.0,127.0
2026-05-06,102.5,271,55.0,150.0
2026-05-07,75.0,254,50.0,100.0
2026-05-08,92.5,295,55.0,130.0
2026-05-09,75.0,295,50.0,100.0
2026-05-10,127.5,264,55.0,200.0
2026-05-11,68.5,206,67.0,70.0
2026-05-12,69.0,176,68.0,70.0
2026-05-13,69.0,180,68.0,70.0
2026-05-14,68.5,169,67.0,70.0
2026-05-15,69.0,190,68.0,70.0
2026-05-16,68.5,224,67.0,70.0
2026-05-17,69.0,225,67.0,71.0
2026-05-18,62.5,216,50.0,75.0
2026-05-19,92.5,204,55.0,130.0
2026-05-20,48.0,224,1.0,95.0
2026-05-21,73.5,240,57.0,90.0
2026-05-22,79.5,231,50.0,109.0
2026-05-23,70.0,223,68.0,72.0
2026-05-24,87.5,296,45.0,130.0
2026-05-25,75.0,237,50.0,100.0
2026-05-26,77.5,262,55.0,100.0
2026-05-27,70.0,166,68.0,72.0
2026-05-28,70.0,179,68.0,72.0
2026-05-29,69.0,191,68.0,70.0
2026-05-30,67.5,357,50.0,85.0
2026-05-31,69.0,266,68.0,70.0
2026-06-01,87.5,212,55.0,120.0
2026-06-02,70.0,189,68.0,72.0
2026-06-03,69.0,191,68.0,70.0
2026-06-04,69.0,184,68.0,70.0
2026-06-05,79.0,253,50.0,108.0
2026-06-06,84.5,282,39.0,130.0
2026-06-07,70.0,205,68.0,72.0
2026-06-08,70.0,186,68.0,72.0
2026-06-09,62.5,210,40.0,85.0
2026-06-10,85.0,249,50.0,120.0
2026-06-11,85.5,248,51.0,120.0
2026-06-12,71.0,205,12.0,130.0
2026-06-13,67.5,264,50.0,85.0
2026-06-14,70.0,192,68.0,72.0
2026-06-15,70.0,147,68.0,72.0
2026-06-16,70.0,141,68.0,72.0
2026-06-17,70.0,177,68.0,72.0
2026-06-18,68.5,145,67.0,70.0
2026-06-19,69.5,143,69.0,70.0
2026-06-20,69.0,225,67.0,71.0
2026-06-21,68.5,178,67.0,70.0
2026-06-22,68.5,172,67.0,70.0
2026-06-23,68.5,207,67.0,70.0
2026-06-24,69.0,231,68.0,70.0
2026-06-25,68.5,162,67.0,70.0
2026-06-26,69.0,157,67.0,71.0
2026-06-27,68.5,187,67.0,70.0
