datetime,avg_price,volume,min_price,max_price
2026-02-23,75.5,75,66,85
2026-02-24,72.5,60,65,80
2026-02-25,75.0,72,70,80
2026-02-26,75.0,77,70,80
2026-02-27,74.0,90,68,80
2026-02-28,75.0,84,70,80
2026-03-01,75.0,67,65,85
2026-03-02,75.0,53,70,80
2026-03-03,73.5,48,72,75
2026-03-04,74.0,57,70,78
2026-03-05,75.0,46,73,77
2026-03-06,77.0,66,74,80
2026-03-07,78.5,56,77,80
2026-03-08,74.0,66,68,80
2026-03-09,77.5,50,70,85
2026-03-10,75.0,49,70,80
2026-03-11,74.0,65,68,80
2026-03-12,75.0,47,70,80
2026-03-13,75.0,56,70,80
2026-03-14,75.0,43,73,77
2026-03-15,75.0,77,70,80
2026-03-16,75.0,57,70,80
2026-03-17,78.5,42,77,80
2026-03-18,77.0,60,74,80
2026-03-19,75.0,51,70,80
2026-03-20,76.0,39,72,80
2026-03-21,79.5,18,79,80
2026-03-22,79.0,20,78,80
2026-03-23,65.0,25,40,90
2026-03-24,80.0,25,60,100
2026-03-25,73.0,46,61,85
2026-03-26,70.0,65,60,80
2026-03-27,72.0,53,67,77
2026-03-28,72.5,67,65,80
2026-03-29,69.5,88,59,80
2026-03-30,70.5,35,69,72
2026-03-31,70.0,66,60,80
2026-04-01,70.0,68,65,75
2026-04-02,72.5,70,65,80
2026-04-03,72.5,73,65,80
2026-04-04,70.0,63,65,75
2026-04-05,73.5,53,72,75
2026-04-06,68.5,78,57,80
2026-04-07,74.0,84,69,79
2026-04-08,74.0,117,68,80
2026-04-09,74.5,62,74,75
2026-04-10,75.0,101,70,80
2026-04-11,73.5,84,63,84
2026-04-12,75.0,58,73,77
2026-04-13,73.5,105,67,80
2026-04-14,73.5,83,67,80
2026-04-15,75.0,71,65,85
2026-04-16,75.0,78,65,85
2026-04-17,75.0,87,65,85
2026-04-18,72.5,98,65,80
2026-04-19,76.5,100,68,85
2026-04-20,72.5,58,65,80
2026-04-21,75.0,65,70,80
2026-04-22,75.0,54,70,80
2026-04-23,75.0,64,70,80
2026-04-24,74.0,60,68,80
2026-04-25,76.0,69,72,80
2026-04-26,72.5,69,65,80
2026-04-27,75.0,41,73,77
2026-04-28,75.0,78,70,80
2026-04-29,74.0,63,68,80
2026-04-30,74.0,41,73,75
2026-05-01,72.0,69,64,80
2026-05-02,75.0,66,70,80
2026-05-03,74.5,64,73,76
2026-05-04,74.5,63,69,80
2026-05-05,74.0,93,68,80
2026-05-06,78.5,48,77,80
2026-05-07,76.5,95,73,80
2026-05-08,78.5,51,77,80
2026-05-09,77.0,78,74,80
2026-05-10,76.5,85,73,80
2026-05-11,78.5,58,77,80
2026-05-12,78.5,54,77,80
2026-05-13,77.0,60,74,80
2026-05-14,78.5,35,77,80
2026-05-15,78.5,54,77,80
2026-05-16,74.5,92,69,80
2026-05-17,75.0,98,70,80
2026-05-18,77.5,56,75,80
2026-05-19,76.5,59,73,80
2026-05-20,78.5,47,77,80
2026-05-21,78.5,42,77,80
2026-05-22,78.5,45,77,80
