datetime,avg_price,volume,min_price
2026-02-14 00:00:00+00:00,60.0,158,58
2026-02-15 00:00:00+00:00,60.0,165,58
2026-02-16 00:00:00+00:00,60.0,136,58
2026-02-17 00:00:00+00:00,65.0,276,41
2026-02-18 00:00:00+00:00,60.0,291,50
2026-02-19 00:00:00+00:00,65.0,262,55
2026-02-20 00:00:00+00:00,61.5,239,58
2026-02-21 00:00:00+00:00,62.5,255,58
2026-02-22 00:00:00+00:00,60.0,401,50
2026-02-23 00:00:00+00:00,64.0,266,58
2026-02-24 00:00:00+00:00,65.0,250,60
2026-02-25 00:00:00+00:00,66.5,277,60
2026-02-26 00:00:00+00:00,65.0,270,55
2026-02-27 00:00:00+00:00,68.0,211,63
2026-02-28 00:00:00+00:00,65.0,325,55
2026-03-01 00:00:00+00:00,68.5,183,67
2026-03-02 00:00:00+00:00,68.5,148,67
2026-03-03 00:00:00+00:00,68.5,143,67
2026-03-04 00:00:00+00:00,67.0,176,64
2026-03-05 00:00:00+00:00,68.5,155,67
2026-03-06 00:00:00+00:00,67.0,223,64
2026-03-07 00:00:00+00:00,66.5,212,63
2026-03-08 00:00:00+00:00,67.0,252,64
2026-03-09 00:00:00+00:00,68.5,119,67
2026-03-10 00:00:00+00:00,68.5,147,67
2026-03-11 00:00:00+00:00,65.5,240,56
2026-03-12 00:00:00+00:00,66.5,214,63
2026-03-13 00:00:00+00:00,66.5,177,63
2026-03-14 00:00:00+00:00,68.5,179,67
2026-03-15 00:00:00+00:00,66.5,245,63
2026-03-16 00:00:00+00:00,68.5,162,67
2026-03-17 00:00:00+00:00,69.0,138,67
2026-03-18 00:00:00+00:00,68.5,144,67
2026-03-19 00:00:00+00:00,68.5,146,67
2026-03-20 00:00:00+00:00,68.5,136,67
2026-03-21 00:00:00+00:00,69.0,80,68
2026-03-22 00:00:00+00:00,70.0,85,68
2026-03-23 00:00:00+00:00,69.0,73,68
2026-03-24 00:00:00+00:00,69.5,93,59
2026-03-25 00:00:00+00:00,67.0,125,55
2026-03-26 00:00:00+00:00,62.5,254,55
2026-03-27 00:00:00+00:00,60.0,198,50
2026-03-28 00:00:00+00:00,60.0,244,52
2026-03-29 00:00:00+00:00,60.0,288,55
2026-03-30 00:00:00+00:00,60.0,221,55
2026-03-31 00:00:00+00:00,60.0,249,52
2026-04-01 00:00:00+00:00,60.0,147,58
2026-04-02 00:00:00+00:00,60.0,172,58
2026-04-03 00:00:00+00:00,60.0,169,58
2026-04-04 00:00:00+00:00,60.0,284,52
2026-04-05 00:00:00+00:00,62.0,292,54
2026-04-06 00:00:00+00:00,64.0,261,58
2026-04-07 00:00:00+00:00,64.0,160,62
2026-04-08 00:00:00+00:00,63.0,252,58
2026-04-09 00:00:00+00:00,62.5,309,55
2026-04-10 00:00:00+00:00,64.0,267,59
2026-04-11 00:00:00+00:00,63.0,291,56
2026-04-12 00:00:00+00:00,64.0,311,59
2026-04-13 00:00:00+00:00,65.0,236,60
2026-04-14 00:00:00+00:00,65.0,237,60
2026-04-15 00:00:00+00:00,65.0,249,55
2026-04-16 00:00:00+00:00,63.5,261,57
2026-04-17 00:00:00+00:00,65.0,239,60
2026-04-18 00:00:00+00:00,65.0,323,60
2026-04-19 00:00:00+00:00,63.5,281,57
2026-04-20 00:00:00+00:00,64.0,233,58
2026-04-21 00:00:00+00:00,66.0,246,62
2026-04-22 00:00:00+00:00,66.5,217,63
2026-04-23 00:00:00+00:00,66.5,241,59
2026-04-24 00:00:00+00:00,67.0,251,64
2026-04-25 00:00:00+00:00,68.5,243,67
2026-04-26 00:00:00+00:00,68.5,219,67
2026-04-27 00:00:00+00:00,68.5,243,67
2026-04-28 00:00:00+00:00,68.5,229,67
2026-04-29 00:00:00+00:00,68.5,192,67
2026-04-30 00:00:00+00:00,69.0,205,68
2026-05-01 00:00:00+00:00,68.5,192,67
2026-05-02 00:00:00+00:00,68.5,200,67
2026-05-03 00:00:00+00:00,68.5,200,67
2026-05-04 00:00:00+00:00,68.5,136,67
2026-05-05 00:00:00+00:00,88.5,256,50
2026-05-06 00:00:00+00:00,102.5,271,55
2026-05-07 00:00:00+00:00,75.0,254,50
2026-05-08 00:00:00+00:00,92.5,295,55
2026-05-09 00:00:00+00:00,75.0,295,50
2026-05-10 00:00:00+00:00,127.5,264,55
2026-05-11 00:00:00+00:00,68.5,206,67
2026-05-12 00:00:00+00:00,69.0,176,68
2026-05-13 00:00:00+00:00,69.0,180,68
